year	name	cname	sex	party	abr	votes	tot
2009	Anantapur	K P Narayana Swamy	M	Independent	IND	8908	1411460
2009	Anantapur	J C Ramanjula Reddy	M	Independent	IND	9179	1411460
2009	Anantapur	Ambati Rama Krishna Reddy	M	BJP	BJP	16540	1411460
2009	Anantapur	Mansoor	M	Praja Rajyam Party	PRAP	102047	1411460
2009	Anantapur	Kalava Srinivasulu	M	Telugu Desam	TDP	379955	1411460
2009	Anantapur	Anantha Venkata Rami Reddy	M	Indian National Congress	INC	457876	1411460
2014	Anantapur	G Lalitha	F	SUCI	SUCI	952	1536894
2014	Anantapur	G. Nagaraju	M	IND	IND	1095	1536894
2014	Anantapur	Buzireddy Venugopal Reddy	M	ICSP	ICSP	1388	1536894
2014	Anantapur	B. Srinivasulu	M	IND	IND	1599	1536894
2014	Anantapur	Pavan Kumar	M	PPOI	PPOI	2076	1536894
2014	Anantapur	D. Somanath	M	IND	IND	2274	1536894
2014	Anantapur	Boya Anil Kumar	M	JaSPa	JaSPa	2800	1536894
2014	Anantapur	Shaik. Mohammad Shafi.	M	IND	IND	3031	1536894
2014	Anantapur	Kasani Nagaraju	M	BSP	BSP	6227	1536894
2014	Anantapur	T.Kuladeep Chowdary	M	STR	STR	6542	1536894
2014	Anantapur	None Of The Above	NULL	NOTA	NOTA	8857	1536894
2014	Anantapur	P. Anil Chowdary	M	INC	INC	16719	1536894
2014	Anantapur	Anantha Venkataramireddy	M	YSRCP	YSRCP	548297	1536894
2014	Anantapur	J.C. Diwakar Reddy	M	TDP	TDP	610288	1536894
1978	Anantapur Urban	Anantha Venkata Rami Reddy	M	Indian National Congress	INC	9681	96591
1978	Anantapur Urban	Meda Subbaiah	M	Janata Party	JNP	24869	96591
1978	Anantapur Urban	B.T.L.N. Chowdary	M	Indian National Congress (I)	INC(I)	28204	96591
1983	Anantapur Urban	N. Srinivasa	M	Independents	IND	89	118791
1983	Anantapur Urban	Adavula Narayana	M	Independents	IND	112	118791
1983	Anantapur Urban	M. Ramachandra Rao	M	Janta Party	JNP	469	118791
1983	Anantapur Urban	P. Bugganna	M	BJP	BJP	3278	118791
1983	Anantapur Urban	B.T.L.N. Chowdary	M	Indian National Congress	INC	17791	118791
1983	Anantapur Urban	Devineni Narayanaswamy	M	Independents	IND	57255	118791
1985	Anantapur Urban	N. Veeranjaneyulu	M	Independent	IND	109	131428
1985	Anantapur Urban	Rentala Sudhakara Gupta	M	Independent	IND	386	131428
1985	Anantapur Urban	A. Narayana Reddy	M	Indian National Congress	INC	36294	131428
1985	Anantapur Urban	N. Ramakrishna	M	Telugu Desam	TDP	43715	131428
1989	Anantapur Urban	T. Sree Ramulu	M	Independents	IND	172	174807
1989	Anantapur Urban	M. Usman	M	All India Dalit Muslim Minorities Suraksha Mahasangh	DMM	329	174807
1989	Anantapur Urban	K. Guruswamy Yadav	M	Bahujan Samaj Party	BSP	413	174807
1989	Anantapur Urban	Kammuri Saifulla	M	Telugu Desam	TDP	41288	174807
1989	Anantapur Urban	Bodimalla Narayana Reddy	M	Indian National Congress	INC	63601	174807
1994	Anantapur Urban	R. Harinath Reddy	M	Independent	IND	47	200760
1994	Anantapur Urban	K.G. Surendranath Yadav	M	Samajwadi Party	SP	122	200760
1994	Anantapur Urban	K. Gaffoor	M	Independent	IND	317	200760
1994	Anantapur Urban	Kakshmaiah	M	Independent	IND	427	200760
1994	Anantapur Urban	Veluri Kesava Chowdary	M	BJP	BJP	3906	200760
1994	Anantapur Urban	B. Narayana Reddy	M	Indian National Congress	INC	45930	200760
1994	Anantapur Urban	K. Ramakrishna	M	Communist Party Of India	CPI	68294	200760
1999	Anantapur Urban	K. Prabhakara Rao	M	Independent	IND	179	233147
1999	Anantapur Urban	B. Narayana Reddy	M	Independent	IND	383	233147
1999	Anantapur Urban	K. Ramakrishna	M	Communist Party Of India	CPI	6690	233147
1999	Anantapur Urban	V. Prabhakar Chowdary	M	Telugu Desam	TDP	56651	233147
1999	Anantapur Urban	B. Narayana Reddy	M	Indian National Congress	INC	60116	233147
2004	Anantapur Urban	Jonnakuti Ananta Venkata Reddy	M	Independent	IND	134	246290
2004	Anantapur Urban	G. Nagaraju	M	Independent	IND	149	246290
2004	Anantapur Urban	D. Govinda Reddy	M	Independent	IND	178	246290
2004	Anantapur Urban	Thimmapuram Udaya Kumar	M	Bahujan Republican Party	BJRP	273	246290
2004	Anantapur Urban	Masulu Sreenivasulu	M	Ntr Telugu Desam Party (Lakshmi Parvathi)	NTRTDP(LP)	279	246290
2004	Anantapur Urban	Smt G. Lalitha	F	Independent	IND	352	246290
2004	Anantapur Urban	B. Nagasankar Reddy	M	Independent	IND	541	246290
2004	Anantapur Urban	K. Venkata Ramana	M	Independent	IND	605	246290
2004	Anantapur Urban	G. Haribabu	M	Pyramid Party Of India	PPOI	732	246290
2004	Anantapur Urban	R. Rangappa	M	Independent	IND	931	246290
2004	Anantapur Urban	S. Shaikshavali	M	Bahujan Samaj Party	BSP	936	246290
2004	Anantapur Urban	T. Atmarami Reddy	M	Independent	IND	4224	246290
2004	Anantapur Urban	V. Prabhakar Chowdary	M	Independent	IND	24084	246290
2004	Anantapur Urban	K.M. Rahamthullah	M	Telugu Desam	TDP	38278	246290
2004	Anantapur Urban	B. Narayana Reddy	M	Indian National Congress	INC	76059	246290
2009	Anantapur Urban	D Rama Krishna	M	IND	IND	81	229876
2009	Anantapur Urban	Avulanna Kullayappa	M	IND	IND	82	229876
2009	Anantapur Urban	V Anjaneyulu	M	RDHP	RDHP	98	229876
2009	Anantapur Urban	Chakala Nagaraju	M	IND	IND	106	229876
2009	Anantapur Urban	D Riyaz	M	IND	IND	119	229876
2009	Anantapur Urban	S Phani Kumar	M	IND	IND	141	229876
2009	Anantapur Urban	K Basha	M	CPI(ML)(L)	CPI(ML)(L)	207	229876
2009	Anantapur Urban	Dasari Adinarayana	M	IND	IND	214	229876
2009	Anantapur Urban	G Lalitha	F	IND	IND	284	229876
2009	Anantapur Urban	K Vijaya Kumar	M	PPOI	PPOI	329	229876
2009	Anantapur Urban	Syed Fayazuddin	M	BJP	BJP	728	229876
2009	Anantapur Urban	Kasani Nagaraju	M	BSP	BSP	1352	229876
2009	Anantapur Urban	S Salar Basha	M	IND	IND	2156	229876
2009	Anantapur Urban	Doctor K Kondaiah	M	LSP	LSP	4314	229876
2009	Anantapur Urban	T J Prakash	M	PRAP	PRAP	28489	229876
2009	Anantapur Urban	Mahalakshmi Sreenivasulu	M	TDP	TDP	32033	229876
2009	Anantapur Urban	B Gurunatha Reddy	M	INC	INC	45275	229876
2014	Anantapur Urban	C.Ramesh Gowd	M	RPS	RPS	75	505636
2014	Anantapur Urban	M.C.Baba Fakruddin	M	SP	SP	84	505636
2014	Anantapur Urban	T.Sivadeep Ranjeet	M	STR	STR	92	505636
2014	Anantapur Urban	D.Raghavendra	M	SUCI	SUCI	103	505636
2014	Anantapur Urban	S. Abdul Azeez	M	IND	IND	122	505636
2014	Anantapur Urban	S.Suryachandra Naidu	M	IND	IND	127	505636
2014	Anantapur Urban	Md.Hassain	M	WPOI	WPOI	153	505636
2014	Anantapur Urban	Shaik. Sardar Vali	M	IND	IND	209	505636
2014	Anantapur Urban	S.Abdul Khadar	M	IND	IND	215	505636
2014	Anantapur Urban	K.Guruvenkatavittal	M	IND	IND	220	505636
2014	Anantapur Urban	Anke Kullayappa	M	BSP	BSP	271	505636
2014	Anantapur Urban	A.Vamsi Krishna	M	IND	IND	308	505636
2014	Anantapur Urban	R.Chenna Rajesh Gowd	M	AAAP	AAAP	327	505636
2014	Anantapur Urban	T.Natesh Chowdary	M	IND	IND	366	505636
2014	Anantapur Urban	S.Ali	M	AIMIM	AIMIM	667	505636
2014	Anantapur Urban	K.Chiranjeevi Reddy	M	JASPA	JASPA	766	505636
2014	Anantapur Urban	Mandla Valmiki Gangadhar	M	IND	IND	835	505636
2014	Anantapur Urban	None Of The Above		NOTA	NOTA	1094	505636
2014	Anantapur Urban	V.Govardhan Reddy	M	INC	INC	1473	505636
2014	Anantapur Urban	S.Ismail	M	LSP	LSP	2121	505636
2014	Anantapur Urban	Palyam Narayanaswamy	M	CPI	CPI	2363	505636
2014	Anantapur Urban	V. Rambhupal	M	CPM	CPM	3352	505636
2014	Anantapur Urban	B Gurunatha Reddy	M	YSRCP	YSRCP	65370	505636
2014	Anantapur Urban	V. Prabhakar Chowdary	M	TDP	TDP	74704	505636
2009	Guntakal	G. Veeranjeneya	M	BHSASP	BHSASP	583	217807
2009	Guntakal	Pasupula Hari Haranath	M	BJP	BJP	1570	217807
2009	Guntakal	D.Hemadri	M	IND	IND	1610	217807
2009	Guntakal	T.Obilesu	M	BSP	BSP	2740	217807
2009	Guntakal	Pathi Ravi	M	PRAP	PRAP	20417	217807
2009	Guntakal	Sainath Goud Ramagowni	M	TDP	TDP	51753	217807
2009	Guntakal	Madhusudhan	M	INC	INC	61097	217807
2014	Guntakal	B. Obulesu	M	IND	IND	122	464250
2014	Guntakal	E. Suresh Babu	M	IND	IND	146	464250
2014	Guntakal	Nallabothula Ramesh	M	AAAP	AAAP	151	464250
2014	Guntakal	D.M.D.Zabeeulla	M	RPS	RPS	179	464250
2014	Guntakal	B.Sreenivasulu	M	IND	IND	181	464250
2014	Guntakal	S. Jakir	M	IND	IND	196	464250
2014	Guntakal	T. Shakunthala	F	IND	IND	217	464250
2014	Guntakal	P.Ramanjineyulu	M	PPOI	PPOI	224	464250
2014	Guntakal	K.Jeenathunnisa	F	IND	IND	271	464250
2014	Guntakal	Bavigadda Obulaiah	M	IND	IND	333	464250
2014	Guntakal	D.Udaykiran	M	IND	IND	356	464250
2014	Guntakal	Talari Parusuramudu	M	JASPA	JASPA	451	464250
2014	Guntakal	Gaddala Nagabhushanam	M	BSP	BSP	486	464250
2014	Guntakal	D.B.Radhakrishna Yadav	M	IND	IND	668	464250
2014	Guntakal	Thammineni Pushpa Latha	F	STR	STR	690	464250
2014	Guntakal	None Of The Above		NOTA	NOTA	717	464250
2014	Guntakal	Yeruru Mahaboob Basha	M	AIMIM	AIMIM	741	464250
2014	Guntakal	M. Ramanjaneyulu	M	IND	IND	1106	464250
2014	Guntakal	S.Rammohan	M	LSP	LSP	1302	464250
2014	Guntakal	K. Prabhakar	M	INC	INC	2251	464250
2014	Guntakal	Boyagadda Venkatramaiah	M	BJP	BJP	3865	464250
2014	Guntakal	Y. Venkata Rami Reddy	M	YSRCP	YSRCP	76561	464250
2014	Guntakal	R. Jithendra Goud	M	TDP	TDP	81655	464250
1978	Rayadurg	Chandragiri Motappa	M	Independent	IND	1499	98618
1978	Rayadurg	Obanaik	M	Indian National Congress	INC	8277	98618
1978	Rayadurg	Uddihal Motappa	M	Janata Party	JNP	26363	98618
1978	Rayadurg	K.B.Chennamllappa	M	Indian National Congress (I)	INC(I)	31591	98618
1983	Rayadurg	Sugali Megya Naik	M	Independents	IND	129	106986
1983	Rayadurg	Motappa	M	Independents	IND	659	106986
1983	Rayadurg	B. Thippaiah	M	Independents	IND	666	106986
1983	Rayadurg	Ulikantappa	M	Indian National Congress	INC	21141	106986
1983	Rayadurg	Kata Govindappa	M	Independents	IND	22822	106986
1983	Rayadurg	P. Venngopal Reddy	M	Independents	IND	26203	106986
1985	Rayadurg	U. Lingareddy	M	Janta Party	JNP	34588	116102
1985	Rayadurg	Huli Kuntaprao	M	Indian National Congress	INC	41777	116102
1994	Rayadurg	J. Kairunnisa	F	Independent	IND	22	150237
1994	Rayadurg	Kristappa	M	Independent	IND	77	150237
1994	Rayadurg	Muddu Krishna	M	Independent	IND	188	150237
1994	Rayadurg	Nayakula Narasimhulu	M	Independent	IND	262	150237
1994	Rayadurg	Nayakula Anjineyulu	M	Independent	IND	355	150237
1994	Rayadurg	Khuddus	M	Independent	IND	3255	150237
1994	Rayadurg	Patil Venugopal Reddy	M	Indian National Congress	INC	41983	150237
1994	Rayadurg	Bandi Hulikuntappa	M	Telugu Desam	TDP	62716	150237
1999	Rayadurg	Ramanjaneyulu	M	Independent	IND	524	165763
1999	Rayadurg	Satish Kumar	M	Pyramid Party Of India	PPOI	592	165763
1999	Rayadurg	Srinivasa Gupta	M	Anna Telugu Desam Party	ATDP	805	165763
1999	Rayadurg	Nagaraju	M	Independent	IND	1043	165763
1999	Rayadurg	Pujari Jitendrappa	M	Telugu Desam	TDP	49851	165763
1999	Rayadurg	Patil Venugopal Reddy	M	Indian National Congress	INC	59086	165763
2004	Rayadurg	Munnemm Somanath	M	Independent	IND	2184	174956
2004	Rayadurg	R.Manjunatha	M	Independent	IND	2832	174956
2004	Rayadurg	Patil Venugopal Reddy	M	Indian National Congress	INC	56083	174956
2004	Rayadurg	Mettu Govinda Reddy	M	Telugu Desam	TDP	66188	174956
1989	Rayadurg	Motappa	M	Independents	IND	409	139382
1989	Rayadurg	Megya Naik	M	Independents	IND	555	139382
1989	Rayadurg	Khasim Sab	M	Independents	IND	858	139382
1989	Rayadurg	Kata Govindappa	M	Telugu Desam	TDP	41000	139382
1989	Rayadurg	Patil Venugopal Reddy	M	Indian National Congress	INC	47550	139382
2009	Rayadurg	C Nagaraju	M	PPOI	PPOI	776	198167
2009	Rayadurg	P Mohan	M	BHSASP	BHSASP	885	198167
2009	Rayadurg	Andra Prasad	M	LSP	LSP	1072	198167
2009	Rayadurg	Govinda Reddy	M	IND	IND	2164	198167
2009	Rayadurg	Palegaru Thippe Swamy	M	BJP	BJP	2860	198167
2009	Rayadurg	Bosula Manohar	M	PRAP	PRAP	9670	198167
2009	Rayadurg	Mettu Govinda Reddy	M	TDP	TDP	62168	198167
2009	Rayadurg	Kapu Ramachandra Reddy	M	INC	INC	76259	198167
2014	Rayadurg	U Ramachandra Reddy	M	IND	IND	366	451720
2014	Rayadurg	Amireddy Venkata Reddy	M	IND	IND	395	451720
2014	Rayadurg	K. Srinivasulu	M	IND	IND	397	451720
2014	Rayadurg	D. Shivakumar	M	PPOI	PPOI	449	451720
2014	Rayadurg	N. Srinivasulu	M	IND	IND	495	451720
2014	Rayadurg	B Venkata Ramana (Babu)	M	LSP	LSP	649	451720
2014	Rayadurg	Virupa Srinivasulu	M	IND	IND	767	451720
2014	Rayadurg	D. Yerriswamy Reddy	M	RPS	RPS	947	451720
2014	Rayadurg	None Of The Above		NOTA	NOTA	1288	451720
2014	Rayadurg	S. Mallikarjuna	M	BCUF	BCUF	1400	451720
2014	Rayadurg	Vadde M. B. Chinnappayya	M	INC	INC	2737	451720
2014	Rayadurg	Kapu Ramachandra Reddy	M	YSRCP	YSRCP	90517	451720
2014	Rayadurg	Kalava Srinivasulu	M	TDP	TDP	92344	451720
1989	Kalyandurg	B. Parusuramaiah	M	Independents	IND	749	148447
1989	Kalyandurg	Sanjeevaiah V.	M	Communist Party Of India	CPI	43706	148447
1989	Kalyandurg	Lakshmi Devi M.	F	Indian National Congress	INC	48448	148447
2009	Kalyandurg	Y G K Venkatesulu	M	PPOI	PPOI	532	177742
2009	Kalyandurg	B Venkata Narayana	M	BSP	BSP	616	177742
2009	Kalyandurg	R G Santha Kumari	F	LSP	LSP	642	177742
2009	Kalyandurg	M Narayana	M	IND	IND	914	177742
2009	Kalyandurg	Balaram Sake	M	BJP	BJP	1415	177742
2009	Kalyandurg	Market Ramanna	M	PRAP	PRAP	7342	177742
2009	Kalyandurg	Vunnam Hanumantharaya Chowdary	M	TDP	TDP	65226	177742
2009	Kalyandurg	Neelakantapuram Raghuveera Reddy	M	INC	INC	69614	177742
2014	Kalyandurg	Dasari Chandrasekhara	M	IND	IND	523	391304
2014	Kalyandurg	Sugepalli Ravi Kumar	M	JASPA	JASPA	751	391304
2014	Kalyandurg	None Of The Above		NOTA	NOTA	880	391304
2014	Kalyandurg	P.Pakruddin	M	PPOI	PPOI	1318	391304
2014	Kalyandurg	K.Ramakrishnayya	M	BSP	BSP	1395	391304
2014	Kalyandurg	M.D.Sanjeevappa	M	CPI	CPI	1541	391304
2014	Kalyandurg	Boya Thippe Swamy	M	YSRCP	YSRCP	69662	391304
2014	Kalyandurg	Vunnam Hanumantharaya Chowdary	M	TDP	TDP	91981	391304
1978	Kalyandurg	C.Obaiah	M	Independent	IND	1305	104599
1978	Kalyandurg	Lakshmi Devi M.	F	Indian National Congress	INC	17801	104599
1978	Kalyandurg	S.Viswandam	M	Indian National Congress (I)	INC(I)	19937	104599
1978	Kalyandurg	Hindi Narasappa	M	Janata Party	JNP	23364	104599
1983	Kalyandurg	Chowdappa	M	Independents	IND	600	111571
1983	Kalyandurg	B. T. Pakkirappa	M	Communist Party Of India	CPI	8179	111571
1983	Kalyandurg	Vishwanatham	M	Indian National Congress	INC	19989	111571
1983	Kalyandurg	T. C. Mareppa	M	Independents	IND	41768	111571
1985	Kalyandurg	Lakshmidevi	F	Indian National Congress	INC	24469	117910
1985	Kalyandurg	B. T. Pakkirappa	M	Communist Party Of India	CPI	49489	117910
1994	Kalyandurg	Boddappa	M	Independent	IND	51	166213
1994	Kalyandurg	Ramaswamy	M	Independent	IND	112	166213
1994	Kalyandurg	Kollappa	M	Independent	IND	209	166213
1994	Kalyandurg	Ramaiah	M	Independent	IND	262	166213
1994	Kalyandurg	M. Adeppa	M	Independent	IND	296	166213
1994	Kalyandurg	Chinna Durgappa	M	Independent	IND	375	166213
1994	Kalyandurg	Jenne Anjineyulu	M	Bahujan Samaj Party	BSP	836	166213
1994	Kalyandurg	Balaram	M	BJP	BJP	1101	166213
1994	Kalyandurg	M. Lakshmidevi	F	Indian National Congress	INC	28983	166213
1994	Kalyandurg	B.C. Govindappa	M	Telugu Desam	TDP	85061	166213
1999	Kalyandurg	A. Kullayappa	M	Independent	IND	108	183840
1999	Kalyandurg	B. Govindappa	M	Independent	IND	181	183840
1999	Kalyandurg	S. Yenjarappa	M	Independent	IND	256	183840
1999	Kalyandurg	H. Thimmappa	M	Independent	IND	282	183840
1999	Kalyandurg	M. Ananthamma	F	Independent	IND	334	183840
1999	Kalyandurg	M. Yerriswamy	M	Independent	IND	353	183840
1999	Kalyandurg	M. Krishnaiah	M	Pyramid Party Of India	PPOI	429	183840
1999	Kalyandurg	P. Vannurappa	M	Independent	IND	534	183840
1999	Kalyandurg	B. Sudharshan	M	Bahujan Republican Party	BJRP	1369	183840
1999	Kalyandurg	H. Nagaraju	M	Anna Telugu Desam Party	ATDP	6919	183840
1999	Kalyandurg	K.B. Shanthi Shivaji	M	Indian National Congress	INC	44931	183840
1999	Kalyandurg	A. Saradamba	F	Telugu Desam	TDP	67813	183840
2004	Kalyandurg	R.Gangaraju	M	Independent	IND	641	196478
2004	Kalyandurg	H.Vannurappa	M	Independent	IND	790	196478
2004	Kalyandurg	M.Suresh Babu	M	Independent	IND	1341	196478
2004	Kalyandurg	A. Kullayappa	M	Independent	IND	1467	196478
2004	Kalyandurg	Sugepalli Umadevi	F	Indian National Congress	INC	66711	196478
2004	Kalyandurg	B.C. Govindappa	M	Telugu Desam	TDP	76363	196478
1978	Singanamala	Asavadi Jagajjeevan	M	Independent	IND	1434	88391
1978	Singanamala	N. Sivasankar	M	Indian National Congress	INC	2016	88391
1978	Singanamala	Katappagari Ananda Rao	M	Indian National Congress (I)	INC(I)	16758	88391
1978	Singanamala	B. Rukmani Devi	F	Janata Party	JNP	20385	88391
1983	Singanamala	Pujari Varadarajulu	M	Janta Party	JNP	786	93726
1983	Singanamala	K. Ananda Rao	M	Indian National Congress	INC	19318	93726
1983	Singanamala	P. Gurumurthy	M	Independents	IND	38221	93726
1985	Singanamala	Asadi Naganhushanam	M	Independent	IND	131	103324
1985	Singanamala	Mallepula Yerriswamy	M	Independent	IND	374	103324
1985	Singanamala	Kailasam Ananda Rao	M	Independent	IND	1429	103324
1985	Singanamala	P. Samanthakamani	F	Indian National Congress	INC	19990	103324
1985	Singanamala	K. Jayaram	M	Telugu Desam	TDP	34202	103324
1989	Singanamala	Meesala Pedda Narayana Alias Abbenna	M	Independents	IND	100	131231
1989	Singanamala	Mantrigari Chinna Nallappa	M	Independents	IND	188	131231
1989	Singanamala	Harijana Dasari Subbaiah	M	Independents	IND	205	131231
1989	Singanamala	Peddapuri Ramiah	M	Independents	IND	459	131231
1989	Singanamala	Juturu Yernagappa	M	Independents	IND	471	131231
1989	Singanamala	J. Channappa	M	Independents	IND	515	131231
1989	Singanamala	Nukathati Muneppa	M	Independents	IND	650	131231
1989	Singanamala	B.C. Govindappa	M	Telugu Desam	TDP	35698	131231
1989	Singanamala	P. Samanthakamani	F	Indian National Congress	INC	42777	131231
1994	Singanamala	Ramanjaneyulu	M	Independent	IND	518	141294
1994	Singanamala	Bandi Nallappa	M	Bahujan Samaj Party	BSP	753	141294
1994	Singanamala	Mendava Ramaiah	M	Independent	IND	1064	141294
1994	Singanamala	Pratap Sagar	M	BJP	BJP	1175	141294
1994	Singanamala	N. Muneppa	M	Independent	IND	1211	141294
1994	Singanamala	P. Samanthakamani	F	Indian National Congress	INC	18337	141294
1994	Singanamala	K. Jayaram	M	Telugu Desam	TDP	65535	141294
1999	Singanamala	N. Muneppa	M	Independent	IND	274	155039
1999	Singanamala	Tarimela Nallappa	M	Marxist Communist Party Of India (S.S.Srivastava)	MCPI(S)	557	155039
1999	Singanamala	O.Nallappa	M	Communist Party Of India (Marxist)	CPM	2652	155039
1999	Singanamala	S. Sairam	M	Indian National Congress	INC	43020	155039
1999	Singanamala	K. Jayaram	M	Telugu Desam	TDP	47310	155039
