name,mandal,year,age,area,community,cooptmember,edu,electioncat,occupation,party,pparty,president,sex,vp,vpparty
B.Muthyalamma,Atmakur,2006,24,Atmakur 2,,,10th class,OC(G),,INC,,,M,,
D.Hanumanthu Naik,Atmakur,2006,49,Goridindla,,,5th class,OC(G),,INC,,,M,,
A.Ramulamma,Atmakur,2006,34,Madigubba,,,5th class,BC(W),,TDP,,,F,,
D.Lakshmireddy,Atmakur,2006,37,Muttala,,,7th class,OC(G),Agriculure,INC,,,M,,
P.Jayamma,Atmakur,2006,44,P.Yaleru,,,7th class,URW,Agriculure,INC,,,F,,
U.Krishna Reddy,Atmakur,2006,44,Sanapa,,,6th class,OC(G),Agriculure,INC,,,M,,
Ontikoduku Obulesu,Atmakur,2006,54,Talupur,,,3rd class,SC(G),Agriculure,INC,,,M,,
T.Obilesu,Atmakur,2006,34,Thopudurthy,,,10th class,BC(G),Agriculure,INC,,,M,,
P.Kaliya Naik,Atmakur,2006,29,Vepecherla,,,BA,ST(G),,TDP,,,M,,
Adinarayana,Bathalapalli,2006,35,Apparacheruvu,,,X CLASS,S.C(G),AGRICULTURE,TDP,,,M,,
Mandala Venkata Lakshmi,Bathalapalli,2006,42,Bathalapalli 1,,,,URG,AGRICULTURE,INC,,,F,,
S.Chinna Venkata Ramudu,Bathalapalli,2006,55,Bathalapalli 2,,,V CLASS,S.T(G),AGRICULTURE,INC,,,M,,
Amangamma,Bathalapalli,2006,49,Bathalapalli 3,,,,S.C(W),AGRICULTURE,TDP,,,F,,
G.Lakshminarayana,Bathalapalli,2006,34,D.Cherlopalli,,,V CLASS,B.C(G),AGRICULTURE,TDP,,,M,,
C.Chinnanarayana,Bathalapalli,2006,34,Dampetla,,,X CLASS,URG,AGRICULTURE,TDP,,,M,,
B.Ramakrishna,Bathalapalli,2006,24,Gariselapalli,,,VII CLASS,URG,AGRICULTURE,TDP,,,M,,
Gavvala Narasamma,Bathalapalli,2006,37,Malyavantham,,,9TH Class,BC(W),,TDP,,,Female Agrl.,,
J.Pulla Naidu,Bathalapalli,2006,49,Sanjeevapuram,,,VI CLASS,URG,AGRICULTURE,TDP,,,M,,
A.Ramanna,Bathalapalli,2006,67,Thambapuram,,,,B.C(G),AGRICULTURE,INC,,,M,,
G.Sankaraiah,Beluguppa,2006,34,Ankampalli,,,VII CLASS,,AGRICULTURE,TDP,,,M,,
G.Radhamma,Beluguppa,2006,35,B.Ramasagaram,,,V CLASS,URG,AGRICULTURE,TDP,,,F,,
Suryanarayana,Beluguppa,2006,32,Beluguppa 1,,,VII CLASS,S.C (G),AGRICULTURE,TDP,,,M,,
Lingamma,Beluguppa,2006,49,Beluguppa 2,,,V CLASS,B.C(W),AGRICULTURE,TDP,,,F,,
T.Ratnamma,Beluguppa,2006,28,Duddekunta,,,,UR(G),AGRICULTURE,INC,,,F,,
P.Yerriswamy,Beluguppa,2006,60,Gangavaram,,,,UR(G),AGRICULTURE,INC,,,M,,
S.Mangamma,Beluguppa,2006,23,Kalavapalli,,,,S.T.(W),AGRICULTURE,INC,,,F,,
H.Marekka,Beluguppa,2006,54,N.Gundlapalli,,,,S.C(W),,TDP,,,F,,
P.Aruna,Beluguppa,2006,23,Narasapuram,,,VII CLASS,URW,AGRICULTURE,TDP,,,F,,
Ratnamma,Beluguppa,2006,29,Seeripi,,,,URG,AGRICULTURE,TDP,,,F,,
U.Gowramma,Beluguppa,2006,35,Sreerangapuram,,,,B.C(G),AGRICULTURE,INC,,,F,,
K.Puspavathi,Beluguppa,2006,35,Thagguparthi,,,B.A,B.C(G),AGRICULTURE,INC,,,F,,
Hanumanna Gowd,Bommanahal,2006,28,Bandur,LINGAYAT,,X CLASS,URG,AGRICULTURE,INC,,,M,,
Kanni Parveen Bhanu,Bommanahal,2006,23,Bollanaguddam,MUSLIM,,,URW,HOUSE WIFE,INC,,,F,,
K.Hanumantharaya,Bommanahal,2006,41,Bommanahal,KURUBA,,,B.C.(G).,AGRICULTURE,INC,,,M,,
K.P.Vannurappa,Bommanahal,2006,58,D.Honnur 1,BOYA,,S.S.L.C.,URG,AGRICULTURE,TDP,,,M,,
B.Adilakshmi,Bommanahal,2006,21,D.Honnur 2,MADIGA,,V CLASS,S.C.(W),AGRICULTURE,TDP,,,F,,
Subhan Bee,Bommanahal,2006,34,Govindawada 1,DUDEKULA,,,URW,HOUSE WIFE,INC,,,F,,
Annapuranamma,Bommanahal,2006,27,Govindawada 2,JANGAMA,,VII  CLASS,B.C (W),HOUSE WIFE,INC,,,F,,
Kuruba Hanumanthappa,Bommanahal,2006,39,Kolaganahalli,KURUBA,,VIIICLASS,URG,AGRICULTURE,INC,,,M,,
K.P.Katte Gowd,Bommanahal,2006,41,Kuruvalli,LINGAYHAT,,P.U.C,URG,AGRICULTURE,INC,,,M,,
Boya Vandramma,Bommanahal,2006,22,Lingadahal,BOYA,,V CLASS,B.C(W),HOUSE WIFE,INC,,,F,,
K.Hanumantha Reddy,Bommanahal,2006,,Singanahalli,,,,UR(G),,INC,,,Male,,
Devarinti Thippeswamy,Bommanahal,2006,26,Sreedharagatta,UPPARA,,,B.C (G),AGRICULTURE,TDP,,,M,,
P.Lalu Sab,Bommanahal,2006,50,Uddehal,DUDEKULA,,VI CLASS,B.C(G),BUSINESS,INC,,,M,,
Anjineyulu,Bommanahal,2006,35,Untakal,MADIGA,,,S.C(G),AGRICULTURE,TDP,,,M,,
Nagamani,Bramhasamudram,2006,22,Bhairavanithippa,LINGAYAT,,10TH,URW,AGRICULTURE,TDP,,,F,,
Bp.Sivaprasad,Bramhasamudram,2006,30,Bhyrasamudram,LINGAYAT,,B.E.,URG,AGRICULTURE,INC,,,M,,
G.Ramachandrappa,Bramhasamudram,2006,51,Bommaganipalli,GOLLA,,5TH,BCG,AGRICULTURE,TDP,,,M,,
Kenchappa,Bramhasamudram,2006,34,Bramhasamudram,GOLLA,,4TH,BCG,AGRICULTURE,INC,,,M,,
K.P.Chandrasekhar Reddy,Bramhasamudram,2006,48,Kannepalli,LINGAYAT,,10TH,URG,AGRICULTURE,TDP,,,M,,
H.Kollakka,Bramhasamudram,2006,34,Palavenkatapuram,MADIGA,,5TH,SCW,AGRICULTURE,TDP,,,F,,
Vadde Gangamma,Bramhasamudram,2006,29,Pillalapalli,VADDI,,3RD,BCW,AGRICULTURE,TDP,,,F,,
Chakali Thippeswamy,Bramhasamudram,2006,53,Rayalappa Doddi,CHAKALI,,5TH,BCG,AGRICULTURE,INC,,,M,,
Sreeramulu,Bramhasamudram,2006,34,S.Kondapuram,MADIGA,,7TH,SCG,AGRICULTURE,INC,,,M,,
G.Virupakshi Reddy,Bramhasamudram,2006,34,Vepulaparthy,LINGAYAT,,10TH,URG,AGRICULTURE,TDP,,,M,,
K.Chandramma,Bramhasamudram,2006,42,West Kodipalli,KAMMARI,,5TH,URW,AGRICULTURE,TDP,,,F,,
Ramadevi,Bukkapatnam,2006,24,Agraharam,,,7TH,URG,FARMER,INC,,,F,,
Peddarasi Lakshmidevi,Bukkapatnam,2006,32,Bukkapatnam 1,OC,,7TH,URW,FARMER,TDP,,,F,,
Chagaleti Shanthamma,Bukkapatnam,2006,22,Bukkapatnam 2,BC,,10TH,URW,FARMER,TDP,,,F,,
P.Jayaramulu,Bukkapatnam,2006,44,Bukkapatnam 3,,,,BCG,FARMER,TDP,,,M,,
Ranga Reddy,Bukkapatnam,2006,45,Gasikavaripalli,,,5TH,URG,FARMER,Indepen,,,M,,
Jilleni Kristappa,Bukkapatnam,2006,34,Gunipalli,,,,BCG,FARMER,dentTDP,,,M,,
Shesham Musalappa,Bukkapatnam,2006,54,Kotha Kota,,,,SCG,FARMER,INC,,,M,,
Medamanuri Narayana Swamy,Bukkapatnam,2006,49,Krishnapura,,,10TH,URG,FARMER,TDP,,,M,,
K.Narayana Swamy,Bukkapatnam,2006,40,Marala,,,5TH,STG,FARMER,TDP,,,M,,
Manohar,Bukkapatnam,2006,31,Narsimpalli Thanda,BC,,10TH,URG,FARMER,INC,,,M,,
Yarram Setty Ramappa,Bukkapatnam,2006,43,Pamudurthi,OC,,7th Class,UR(G),Farmer,INC,,,Male,,
"T,shanthamma",Bukkapatnam,2006,29,Siddarampuram,,,5TH,BCW,FARMER,TDP,,,F,,
K.Peddakka,C.K.Palli,2006,45,Basampalli,KURUBA,,,BCW,AGRICULTURE,INC,,,F,,
P.Obulesu,C.K.Palli,2006,57,C.K.Palli 1,MADIGA,,5TH,SCG,AGRICULTURE,INC,,,M,,
Varadanna Gari Govinda Reddy,C.K.Palli,2006,35,C.K.Palli 2,KAPU,,10TH,URG,AGRICULTURE,TDP,,,M,,
Bhoga Narasimhulu,C.K.Palli,2006,22,Ganginepalli,BOYA,,,BCG,AGRICULTURE,INC,,,M,,
Kunta Kinda Lakshminarasamma,C.K.Palli,2006,48,Medapuram 1,BOYA,,7TH,URW,AGRICULTURE,TDP,,,F,,
Nageli Surya Narayana,C.K.Palli,2006,42,Medapuram 2,KAMMA,,,URG,AGRICULTURE,TDP,,,M,,
Vetti Gamgamma,C.K.Palli,2006,23,Mustikovela,MADIGA,,10TH,SCW,AGRICULTURE,TDP,,,F,,
B.Siddappa,C.K.Palli,2006,28,Nagasamudram,BOYA,,6TH,BCG,AGRICULTURE,INC,,,M,,
Donkala Hanumantha Reddy,C.K.Palli,2006,49,Nyamaddela 1,KAPU,,10TH,URG,AGRICULTURE,INC,,,M,,
Bille Meenakshi,C.K.Palli,2006,28,Nyamaddela 2,KURUBA,,7TH,URW,AGRICULTURE,TDP,,,F,,
Alle Chandra Kanthamma,C.K.Palli,2006,38,Pyadindi,KAPU,,BA,URG,AGRICULTURE,INC,,,F,,
Bhutappa Gari Venkatesulu,C.K.Palli,2006,35,Venkatampalli,BOYA,,,BCG,AGRICULTURE,TDP,,,M,,
Gourappa Gari Bramarambha,Chilamathur,2006,34,Chilamathur 1,LINGAYAT,,SSC,,AGRICULTURE,TDP,,,F,,
T.Alivelamma,Chilamathur,2006,44,Chilamathur 2,,,4TH,BCW,AGRICULTURE,TDP,,,F,,
N.Anithamma,Chilamathur,2006,32,Chilamathur 3,,,7th,BCW,AGRICULTURE,TDP,,,F,,
K.Sankarappa,Chilamathur,2006,44,Demakethapalli,,,10TH,BCG,AGRICULTURE,INC,,,M,,
Vasantha Kumari,Chilamathur,2006,49,Kodikonda,VYSYA,,10TH,URG,AGRICULTURE,INC,,,F,,
M.C.Venkataramappa,Chilamathur,2006,49,Koduru 1,,,7TH,BCG,AGRICULTURE,TDP,,,M,,
R.Saradamma,Chilamathur,2006,31,Koduru 2,KAPU,,7TH,UG,AGRICULTURE,TDP,,,F,,
Sudhakar Reddy,Chilamathur,2006,34,Moraselapalli,KAPU,,5TH,,AGRICULTURE,INC,,,M,,
R.Padmavathamma,Chilamathur,2006,39,Palagalapalli,KAPU,,4TH,,AGRICULTURE,TDP,,,F,,
Avula Narasamma,Chilamathur,2006,24,Settipalli,,,5TH,SCW,AGRICULTURE,TDP,,,F,,
Pedda Narasimhappa,Chilamathur,2006,50,Somagatta,,,,SCG,AGRICULTURE,TDP,,,M,,
Venkata Reddy,Chilamathur,2006,31,Tekulodu,KAPU,,10TH,URG,AGRICULTURE,TDP,,,M,,
Kondappa Gari Rajappa,Chilamathur,2006,44,Veerapuram,,,4TH,BCG,AGRICULTURE,INC,,,M,,
Laxmi.H,D.Hirehal,2006,21,Cherlopalli,,,5TH,SCW,AGRICULTURE,INC,,,F,,
Lingappa,D.Hirehal,2006,30,D.Hierhal 1,,,5TH,BCG,AGRICULTURE,INC,,,M,,
Pampanna,D.Hirehal,2006,48,D.Hierhal 2,,,,URG,AGRICULTURE,INC,,,M,,
Boya Vandrappa,D.Hirehal,2006,28,Hanumapuram,,,2ND,BCG,AGRICULTURE,INC,,,M,,
Harijana Gangadhara,D.Hirehal,2006,,Kadalur,,,,SC(G),,INC,,,Male,,
Kamakshi,D.Hirehal,2006,23,Kudluru,,,4TH,BCW,AGRICULTURE,TDP,,,F,,
Laxmakka,D.Hirehal,2006,28,Madinehalli,,,,URW,AGRICULTURE,INC,,,F,,
Shoba,D.Hirehal,2006,24,Muradi,,,10TH,URW,AGRICULTURE,INC,,,F,,
Hanumapuram Ramalingappa,D.Hirehal,2006,55,Nagalapuram,,,4TH,URG,AGRICULTURE,INC,,,M,,
Chinna Basappa,D.Hirehal,2006,47,Obulapuram,,,10TH,URG,AGRICULTURE,INC,,,M,,
Chinna Hanumanthappa,D.Hirehal,2006,40,Pulakurthy,,,5TH,BCG,AGRICULTURE,INC,,,M,,
B.Siva Reddy,Dharmavaram,2006,37,Chigicherla,,,INTERMEDIAT,URG,CULTIVATION,INC,,,M,,
Kotla Narayanaswamy,Dharmavaram,2006,32,Darsinamala,B.C GOLLA,,EV CLASS,BCG,CULTIVATION,TDP,,,M,,
Sake Narayana,Dharmavaram,2006,49,Dharmapuri,S.C MADIGA,,,SCG,CULTIVATION,INC,,,M,,
Boggu Kesappa,Dharmavaram,2006,39,Elukuntla,BOYA,,,BCG,CULTIVATION,INC,,,M,,
Neeruganti Maruthi,Dharmavaram,2006,23,Gotlur 1,,,IX CLASS,URG,CULTIVATION,CPI,,,M,,
Mondi Nagalakshmii,Dharmavaram,2006,22,Gotlur 2,S.C.MADIGA,,S.S.C,S.C (W),AGRICULTURE,INC,,,F,,
Tadimarri Venkatarami Reddy,Dharmavaram,2006,32,Kunuthur,,,III CLASS,URG,LABOURCULTIVATION,INC,,,M,,
Vaddi Chenna Anjenappa,Dharmavaram,2006,,Malla Kalva,,,,BC(G),,TDP,,,Male,,
Rekatla Bandaru Sivamma,Dharmavaram,2006,40,Pothukunta,BOYA,,,URW,CULTIVATION,TDP,,,F,,
Bille Nagamma,Dharmavaram,2006,47,Potula Nagepalli,B.C KURUBA,,,B.C(W),CULTIVATION,INC,,,F,,
D.Sreenivasulu,Dharmavaram,2006,,Rayalacheruvu,,,,ST(G),,INC,,,Male,,
Tadimarri Nagalakshmma,Dharmavaram,2006,,Regatipalli,,,,UR(G),,INC,,,Female,,
Gelevi Pothi Reddy,Dharmavaram,2006,48,Thummala,,,S.S.C.,URG,CULTIVATION,INC,,,M,,
Patnam Gangadar,Gandlapenta,2006,22,Chamala Gondi,Madiga,,,SCG,Cultivation,TDP,,,M,,
Shaik Hydervali,Gandlapenta,2006,47,Gandlapenta,Muslim,,3RD,URG,Cultivation,TDP,,,M,,
Kambaiah,Gandlapenta,2006,54,Goddulevagala,Patra,,M.Com,URG,Cultivation,TDP,,,M,,
S.Ramamohan,Gandlapenta,2006,42,Katarupalli,Nese,,Intermediate,URG,Business,INC,,,M,,
Suseelamma,Gandlapenta,2006,29,Malameedapalli,Kapu,,7th,URW,,INC,,,F,,
D.Gangaraju,Gandlapenta,2006,54,Somayajulapalli,Vadde,,5th,BCG,Cultivation,TDP,,,M,,
S.Santhamma,Gandlapenta,2006,38,Veparala,Sugali,,,STW,,INC,,,F,,
H.Suryanarayana,Garladinne,2006,23,Budedu,SC(Madiga),,5th Class,SC(G),cooli,TDP,,,M,,
Vadde Siva,Garladinne,2006,24,Garladinne 1,BC(Vadde),,,BC(G),Agriculture,TDP,,,M,,
K.Ramanamma,Garladinne,2006,32,Garladinne 2,BC(Boya),,,UR(W),House wife,TDP,,,F,,
Malapathi Tirumalesu,Garladinne,2006,37,Iluru,OC(Kamma),,Inter,UR(G),Agriculture,TDP,,,M,,
Maredi Srenivasa Reddy,Garladinne,2006,29,Kalluru 1,OC (Kapu),,Bcom,,Agriculture,TDP,,,M,,
Jaggala Ravi Kumar,Garladinne,2006,32,Kalluru 2,BC(Golla),,SSC,UR(G),Agriculture,TDP,,,M,,
Vankara Nallamma,Garladinne,2006,39,Kalluru 3,SC(Mala),,,SC(W),cooli,TDP,,,F,,
Ediga Venkataramana,Garladinne,2006,45,Kamalapuram,BC (Boya),,8th class,BC(G),Agriculture,TDP,,,M,,
Gumpu Lakshmidevi,Garladinne,2006,49,Kanampalli,BC(Golla),,,BC(W),Agriculture,INC,,,F,,
Y.Narayana Reddy,Garladinne,2006,44,Kotanka,OC(Kapu),,Polytechnic,UR(G),Agriculture,INC,,,M,,
Avula Krishnaiah,Garladinne,2006,32,Marthadu,BC(Kuruba),,BL,UR(G),Agriculture,TDP,,,M,,
Nalla Bothula Ramanna,Garladinne,2006,28,Muntimadugu,BC (Ediga),,BA,BC(G),Agriculture,TDP,,,M,,
Bhumagari Sudharani,Garladinne,2006,47,Penakacherla,OC (Kapu),,7th class,UR(W),House wife,INC,,,F,,
Duspakula Raviraju,Garladinne,2006,27,Yerraguntla,SC(Madiga),,9th class,SC(G),Agriculture,INC,,,M,,
K.S.Feiroz,Gooty,2006,36,Abbedoddi,MUSLIM,,10th class,URG,"SARPANCH,",TDP,,,F,,
Pulikonda,Gooty,2006,39,Basinepalli,SETTI BALIJA,,SSC,URG,GOOTY GPAGRICULTURE,TDP,,,M,,
P.Ranganna,Gooty,2006,46,Bethapalli,BOYA,,Intermediate,BCG,AGRICULTURE,INC,,,M,,
B.Kumar,Gooty,2006,35,Chetnepalli 1,,,,URG,AGRICULTURE,TDP,,,M,,
J.Padma,Gooty,2006,33,Chetnepalli 2,,,SSC,SCW,AGRICULTURE,TDP,,,F,,
K.Peddanna,Gooty,2006,44,Chetnepalli 3,GOLLA,,INTER,URG,AGRICULTURE,TDP,,,M,,
N.Ibrahim,Gooty,2006,59,Chetnepalli 4,,,,BCG,AGRICULTURE,CPI,,,M,,
P.Sanjappa,Gooty,2006,49,Gooty 1,,,5TH,BCG,BUSINESS,TDP,,,M,,
B.C.Hanumanna,Gooty,2006,52,Gooty 2,,,5TH,BCG,AGRICULTURE,TDP,,,M,,
G.Sofia,Gooty,2006,38,Gooty 3,,,BA,BCW,AGRICULTURE,TDP,,,F,,
A.Suresh,Gooty,2006,21,Gooty 4,,,9TH,SCG,AGRICULTURE,CPI(M),,,M,,
P.Chinna Venkatesh,Gooty,2006,29,Gooty 5,,,5TH,SCG,AGRICULTURE,Indepen,,,M,,
K.Sasikala,Gooty,2006,27,Gooty 6,,,INTER,STW,AGRICULTURE,dentTDP,,,F,,
D.Lakshmidevi,Gooty,2006,38,Gooty 7,,,INTER,BCW,AGRICULTURE,CPI(M),,,F,,
D.Venkata Narayana,Gooty,2006,34,Jakkala Cheruvu,GOLLA,,INTER,URG,AGRICULTURE,TDP,,,M,,
K.Adi Lakshmi,Gooty,2006,47,Karidi Konda,,,SSC,URW,AGRICULTURE,INC,,,F,,
B.Ekanthaiah,Gooty,2006,44,Kothapeta,GOLLA,,6TH,URG,AGRICULTURE,TDP,,,M,,
B.Mastanaiah,Gooty,2006,23,Lachanapalli,,,8TH,SCG,AGRICULTURE,TDP,,,M,,
J.Ranga Reddy,Gooty,2006,,P.Yerragudi,GOLLA,,BA,BCG,AGRICULTURE,TDP,,,M,,
Parvathamma,Gooty,2006,,Peddoddi,,,,URW,AGRICULTURE,INC,,,F,,
D.Sivalingareddy,Gooty,2006,,Thurakapalli,KAPU,,BSC,URG,AGRICULTURE,TDP,,,M,,
M.Lakshmidevi,Gooty,2006,,Ubicherla,BOYA,,,URW,AGRICULTURE,TDP,,,F,,
B.Venu Gopal Reddy,Gorantla,2006,45,Budili,,,SSC,URG,AGRICULTURE,INC,,,M,,
K.Ranga Natham,Gorantla,2006,46,Gangampalli,,,INTER,BCG,AGRICULTURE,TDP,,,M,,
Chinginapalli Varalakshmamma,Gorantla,2006,29,Gorantla 1,,,7TH,URW,AGRICULTURE,TDP,,,F,,
Devangam Kristappa,Gorantla,2006,54,Gorantla 2,,,BCOM,BCG,AGRICULTURE,TDP,,,M,,
Kamsala Vishalamma,Gorantla,2006,44,Gorantla 3,,,5TH,BCW,AGRICULTURE,TDP,,,F,,
K.Eswaramma,Gorantla,2006,36,Gorantla 4,,,,BCW,AGRICULTURE,TDP,,,F,,
Ganga Palli Sarojamma,Gorantla,2006,39,Gowni Varipalli,,,,URW,AGRICULTURE,TDP,,,F,,
Lakshmi Narasimhulu,Gorantla,2006,33,Kamma Varipalli,,,SSC,SCG,AGRICULTURE,TDP,,,M,,
Sunnam Palli Rama Chandra Reddy,Gorantla,2006,49,Kondapuram,,,8TH,URG,AGRICULTURE,TDP,,,F,,
P.Anjanamma,Gorantla,2006,53,Mallapalli,,,5TH,URW,AGRICULTURE LABOUR,INC,,,F,,
Ediga Prabhakar,Gorantla,2006,45,Mandalapalli 1,,,4TH,BCG,AGRICULTURE,TDP,,,M,,
Babireddigari Venkatareddi,Gorantla,2006,,Mandalapalli 2,,,,UR(G),,INC,,,Male,,
Harijana Gangamma,Gorantla,2006,54,Narsimpalli,,,5TH,SCW,AGRICULTURE,INC,,,F,,
T.Fakruddin Sab,Gorantla,2006,48,Pala Samudram,,,INTER,URG,AGRICULTURE,TDP,,,M,,
G.Mopura Reddy,Gorantla,2006,57,Reddi Cheruvupalli,,,5TH,URG,AGRICULTURE,INC,,,M,,
Sugali Chandra Naik,Gorantla,2006,30,Vadigepalli,,,INTER,STG,AGRICULTURE,TDP,,,M,,
Abdul Khader Jilaani,Gorantla,2006,42,Vanavolu 1,,,5TH,URG,AGRICULTURE,TDP,,,M,,
Prameela Bai,Gorantla,2006,25,Vanavolu 2,SUGALI,,,STW,AGRICULTURE,TDP,,,F,,
