year,electedas,name,party,ac,pc,mandal,area,ward,age,community,edu,electioncat,occupation,sex,tot,votes
1989,MP Candidate,P.J. Dhanaraj,BSP,,Anantapur,,,,,,,,,,1013902.0,6484.0
1989,MP Candidate,G. Ramanna Chowdary,TDP,,Anantapur,,,,,,,,,,1013902.0,290203.0
1989,MP,Anantha Venkatarami Reddy,INC,,Anantapur,,,,,,,,,,1013902.0,349685.0
1991,MP Candidate,Bagalakota Rama Rao,IND,,Anantapur,,,,,,,,,,1016053.0,789.0
1991,MP Candidate,Pujari Narayana,IND,,Anantapur,,,,,,,,,,1016053.0,878.0
1991,MP Candidate,Adavula Narayana,IND,,Anantapur,,,,,,,,,,1016053.0,959.0
1991,MP Candidate,Motappa,IND,,Anantapur,,,,,,,,,,1016053.0,1933.0
1991,MP Candidate,K. Narayanaswamy,JP,,Anantapur,,,,,,,,,,1016053.0,3237.0
1991,MP Candidate,Gurugu Venkatadasu,IND,,Anantapur,,,,,,,,,,1016053.0,3667.0
1991,MP Candidate,Venkataswamy Muthuluru,BJP,,Anantapur,,,,,,,,,,1016053.0,38767.0
1991,MP Candidate,B.T.L.N. Chowary,TDP,,Anantapur,,,,,,,,,,1016053.0,200392.0
1991,MP,Anantha Venkatarami Reddy,INC,,Anantapur,,,,,,,,,,1016053.0,362676.0
1996,MP Candidate,G.C.Ravindra Nath,IND,,Anantapur,,,,,,,,,,1214517.0,338.0
1996,MP Candidate,M.Osman,IND,,Anantapur,,,,,,,,,,1214517.0,505.0
1996,MP Candidate,S.Surendra Prasad,IND,,Anantapur,,,,,,,,,,1214517.0,764.0
1996,MP Candidate,S. Khaja Hussain,IND,,Anantapur,,,,,,,,,,1214517.0,821.0
1996,MP Candidate,Boya Bhaskar,IND,,Anantapur,,,,,,,,,,1214517.0,825.0
1996,MP Candidate,G.Jaganmohan Reddy,IND,,Anantapur,,,,,,,,,,1214517.0,845.0
1996,MP Candidate,Rachamadugu Subramanyam,IND,,Anantapur,,,,,,,,,,1214517.0,874.0
1996,MP Candidate,Bokkasam Ramamohan,IND,,Anantapur,,,,,,,,,,1214517.0,910.0
1996,MP Candidate,J.C.Salaiah,IND,,Anantapur,,,,,,,,,,1214517.0,974.0
1996,MP Candidate,Bagalakota Rama Rao,IND,,Anantapur,,,,,,,,,,1214517.0,1131.0
1996,MP Candidate,R.Madhusudhana Rao,IND,,Anantapur,,,,,,,,,,1214517.0,1296.0
1996,MP Candidate,Vaikuntam Prasadu Naidu,IND,,Anantapur,,,,,,,,,,1214517.0,1366.0
1996,MP Candidate,M.Prabhakar,IND,,Anantapur,,,,,,,,,,1214517.0,1774.0
1996,MP Candidate,K.Krishna Reddy,IND,,Anantapur,,,,,,,,,,1214517.0,2303.0
1996,MP Candidate,Chandragiri Motappa,IND,,Anantapur,,,,,,,,,,1214517.0,2391.0
1996,MP Candidate,T Chandrayudu,IND,,Anantapur,,,,,,,,,,1214517.0,2403.0
1996,MP Candidate,Pateel Ramalinga Reddy,IND,,Anantapur,,,,,,,,,,1214517.0,2629.0
1996,MP Candidate,Nimmala Nehaji,IND,,Anantapur,,,,,,,,,,1214517.0,3943.0
1996,MP Candidate,Nagaraju,IND,,Anantapur,,,,,,,,,,1214517.0,5426.0
1996,MP Candidate,Veluri Kesava Chowdari,BJP,,Anantapur,,,,,,,,,,1214517.0,21802.0
1996,MP Candidate,V Prabhakara Chowdary,NTRTDP(LP),,Anantapur,,,,,,,,,,1214517.0,94485.0
1996,MP Candidate,R. Rangappa,CPI,,Anantapur,,,,,,,,,,1214517.0,205986.0
1996,MP,Anantha Venkatarami Reddy,INC,,Anantapur,,,,,,,,,,1214517.0,284845.0
1998,MP Candidate,Bheemalingaiah,IND,,Anantapur,,,,,,,,,,1213025.0,673.0
1998,MP Candidate,M.Venkataramudu,IND,,Anantapur,,,,,,,,,,1213025.0,1085.0
1998,MP Candidate,Belagalla Ramesh Babu,IND,,Anantapur,,,,,,,,,,1213025.0,1430.0
1998,MP Candidate,M.Adil Basha,IND,,Anantapur,,,,,,,,,,1213025.0,2662.0
1998,MP Candidate,Bangi Sudarshan,IND,,Anantapur,,,,,,,,,,1213025.0,5516.0
1998,MP Candidate,C. Peddanna,IND,,Anantapur,,,,,,,,,,1213025.0,9273.0
1998,MP Candidate,Veluri Kesava Chowdari,BJP,,Anantapur,,,,,,,,,,1213025.0,93339.0
1998,MP Candidate,K. Ramakrishna,CPI,,Anantapur,,,,,,,,,,1213025.0,238076.0
1998,MP,Anantha Venkatarami Reddy,INC,,Anantapur,,,,,,,,,,1213025.0,320474.0
1999,MP Candidate,Bheemalingaiah,IND,,Anantapur,,,,,,,,,,1226314.0,890.0
1999,MP Candidate,Y. Pothulaiah,IND,,Anantapur,,,,,,,,,,1226314.0,1251.0
1999,MP Candidate,A. Ramachandra Chowdary,ATDP,,Anantapur,,,,,,,,,,1226314.0,14823.0
1999,MP Candidate,Anantha Venkata Rami Reddy,INC,,Anantapur,,,,,,,,,,1226314.0,357386.0
1999,MP,Kalava Srinivasulu,TDP,,Anantapur,,,,,,,,,,1226314.0,378488.0
2004,MP Candidate,B. S. Amarnath,IND,,Anantapur,,,,,,,,,,1280923.0,3640.0
2004,MP Candidate,A. Jagan Mohan Rao,TRS,,Anantapur,,,,,,,,,,1280923.0,4419.0
2004,MP Candidate,K. Venkatesulu,PPOI,,Anantapur,,,,,,,,,,1280923.0,6232.0
2004,MP Candidate,Yatham Pothalaiah,IND,,Anantapur,,,,,,,,,,1280923.0,7102.0
2004,MP Candidate,Gaddala Nagabhushanam,BSP,,Anantapur,,,,,,,,,,1280923.0,9296.0
2004,MP Candidate,Kalava Srinivasulu,TDP,,Anantapur,,,,,,,,,,1280923.0,385521.0
2004,MP,Anantha Venkatarami Reddy,INC,,Anantapur,,,,,,,,,,1280923.0,458925.0
2009,MP Candidate,Krushnapuram Gayathri Devi,CPI(ML),,Anantapur,,,,,,,,,,1411460.0,2083.0
2009,MP Candidate,G Hari,PPOI,,Anantapur,,,,,,,,,,1411460.0,3232.0
2009,MP Candidate,T Chandra Sekhar,IND,,Anantapur,,,,,,,,,,1411460.0,3346.0
2009,MP Candidate,Devella Murali,IND,,Anantapur,,,,,,,,,,1411460.0,4781.0
2009,MP Candidate,Gaddala Nagabhushanam,BSP,,Anantapur,,,,,,,,,,1411460.0,5921.0
2009,MP Candidate,Amarnath,LSP,,Anantapur,,,,,,,,,,1411460.0,6340.0
2009,MP Candidate,K P Narayana Swamy,IND,,Anantapur,,,,,,,,,,1411460.0,8908.0
2009,MP Candidate,J C Ramanjula Reddy,IND,,Anantapur,,,,,,,,,,1411460.0,9179.0
2009,MP Candidate,Ambati Rama Krishna Reddy,BJP,,Anantapur,,,,,,,,,,1411460.0,16540.0
2009,MP Candidate,Mansoor,PRAP,,Anantapur,,,,,,,,,,1411460.0,102047.0
2009,MP Candidate,Kalava Srinivasulu,TDP,,Anantapur,,,,,,,,,,1411460.0,379955.0
2009,MP,Anantha Venkatarami Reddy,INC,,Anantapur,,,,,,,,,,1411460.0,457876.0
2014,MP Candidate,G. Lalitha,SUCI,,Anantapur,,,,,,,,,,1536894.0,952.0
2014,MP Candidate,G. Nagaraju,IND,,Anantapur,,,,,,,,,,1536894.0,1095.0
2014,MP Candidate,Buzireddy Venugopal Reddy,ICSP,,Anantapur,,,,,,,,,,1536894.0,1388.0
2014,MP Candidate,B. Srinivasulu,IND,,Anantapur,,,,,,,,,,1536894.0,1599.0
2014,MP Candidate,Pavan Kumar,PPOI,,Anantapur,,,,,,,,,,1536894.0,2076.0
2014,MP Candidate,D. Somanath,IND,,Anantapur,,,,,,,,,,1536894.0,2274.0
2014,MP Candidate,Boya Anil Kumar,JaSPa,,Anantapur,,,,,,,,,,1536894.0,2800.0
2014,MP Candidate,Shaik. Mohammad Shafi.,IND,,Anantapur,,,,,,,,,,1536894.0,3031.0
2014,MP Candidate,Kasani Nagaraju,BSP,,Anantapur,,,,,,,,,,1536894.0,6227.0
2014,MP Candidate,T.Kuladeep Chowdary,STR,,Anantapur,,,,,,,,,,1536894.0,6542.0
2014,MP Candidate,Nota,NOTA,,Anantapur,,,,,,,,,,1536894.0,8857.0
2014,MP Candidate,P. Anil Chowdary,INC,,Anantapur,,,,,,,,,,1536894.0,16719.0
2014,MP Candidate,Anantha Venkata Rami Reddy,YSRCP,,Anantapur,,,,,,,,,,1536894.0,548297.0
2014,MP,J. C. Diwakar Reddy,TDP,,Anantapur,,,,,,,,,,1536894.0,610288.0
1978,MLA Candidate,Anantha Venkata Rami Reddy,INC,Anantapur Urban,Anantapur,,,,,,,,,,96591.0,9681.0
1978,MLA Candidate,Meda Subbaiah,JNP,Anantapur Urban,Anantapur,,,,,,,,,,96591.0,24869.0
1978,MLA,B.T.L.N. Chowdary,INC(I),Anantapur Urban,Anantapur,,,,,,,,,,96591.0,28204.0
1983,MLA Candidate,N. Srinivasa,IND,Anantapur Urban,Anantapur,,,,,,,,,,118791.0,89.0
1983,MLA Candidate,Adavula Narayana,IND,Anantapur Urban,Anantapur,,,,,,,,,,118791.0,112.0
1983,MLA Candidate,M. Ramachandra Rao,JNP,Anantapur Urban,Anantapur,,,,,,,,,,118791.0,469.0
1983,MLA Candidate,P. Bugganna,BJP,Anantapur Urban,Anantapur,,,,,,,,,,118791.0,3278.0
1983,MLA Candidate,B.T.L.N. Chowdary,INC,Anantapur Urban,Anantapur,,,,,,,,,,118791.0,17791.0
1983,MLA,Devineni Narayanaswamy,IND,Anantapur Urban,Anantapur,,,,,,,,,,118791.0,57255.0
1985,MLA Candidate,N. Veeranjaneyulu,IND,Anantapur Urban,Anantapur,,,,,,,,,,131428.0,109.0
1985,MLA Candidate,Rentala Sudhakara Gupta,IND,Anantapur Urban,Anantapur,,,,,,,,,,131428.0,386.0
1985,MLA Candidate,A. Narayana Reddy,INC,Anantapur Urban,Anantapur,,,,,,,,,,131428.0,36294.0
1985,MLA,N. Ramakrishna,TDP,Anantapur Urban,Anantapur,,,,,,,,,,131428.0,43715.0
1989,MLA Candidate,T. Sree Ramulu,IND,Anantapur Urban,Anantapur,,,,,,,,,,174807.0,172.0
1989,MLA Candidate,M. Usman,DMM,Anantapur Urban,Anantapur,,,,,,,,,,174807.0,329.0
1989,MLA Candidate,K. Guruswamy Yadav,BSP,Anantapur Urban,Anantapur,,,,,,,,,,174807.0,413.0
1989,MLA Candidate,Kammuri Saifulla,TDP,Anantapur Urban,Anantapur,,,,,,,,,,174807.0,41288.0
1989,MLA,Bodimalla Narayana Reddy,INC,Anantapur Urban,Anantapur,,,,,,,,,,174807.0,63601.0
1994,MLA Candidate,R. Harinath Reddy,IND,Anantapur Urban,Anantapur,,,,,,,,,,200760.0,47.0
1994,MLA Candidate,K.G. Surendranath Yadav,SP,Anantapur Urban,Anantapur,,,,,,,,,,200760.0,122.0
1994,MLA Candidate,K. Gaffoor,IND,Anantapur Urban,Anantapur,,,,,,,,,,200760.0,317.0
1994,MLA Candidate,Kakshmaiah,IND,Anantapur Urban,Anantapur,,,,,,,,,,200760.0,427.0
1994,MLA Candidate,Veluri Kesava Chowdary,BJP,Anantapur Urban,Anantapur,,,,,,,,,,200760.0,3906.0
1994,MLA Candidate,B. Narayana Reddy,INC,Anantapur Urban,Anantapur,,,,,,,,,,200760.0,45930.0
1994,MLA,K. Ramakrishna,CPI,Anantapur Urban,Anantapur,,,,,,,,,,200760.0,68294.0
1999,MLA Candidate,K. Prabhakara Rao,IND,Anantapur Urban,Anantapur,,,,,,,,,,233147.0,179.0
1999,MLA Candidate,B. Narayana Reddy,IND,Anantapur Urban,Anantapur,,,,,,,,,,233147.0,383.0
1999,MLA Candidate,K. Ramakrishna,CPI,Anantapur Urban,Anantapur,,,,,,,,,,233147.0,6690.0
1999,MLA Candidate,V. Prabhakar Chowdary,TDP,Anantapur Urban,Anantapur,,,,,,,,,,233147.0,56651.0
1999,MLA,B. Narayana Reddy,INC,Anantapur Urban,Anantapur,,,,,,,,,,233147.0,60116.0
2004,MLA Candidate,Jonnakuti Ananta Venkata Reddy,IND,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,134.0
2004,MLA Candidate,G. Nagaraju,IND,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,149.0
2004,MLA Candidate,D. Govinda Reddy,IND,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,178.0
2004,MLA Candidate,Thimmapuram Udaya Kumar,BJRP,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,273.0
2004,MLA Candidate,Masulu Sreenivasulu,NTRTDP(LP),Anantapur Urban,Anantapur,,,,,,,,,,246290.0,279.0
2004,MLA Candidate,Smt G. Lalitha,IND,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,352.0
2004,MLA Candidate,B. Nagasankar Reddy,IND,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,541.0
2004,MLA Candidate,K. Venkata Ramana,IND,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,605.0
2004,MLA Candidate,G. Haribabu,PPOI,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,732.0
2004,MLA Candidate,R. Rangappa,IND,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,931.0
2004,MLA Candidate,S. Shaikshavali,BSP,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,936.0
2004,MLA Candidate,T. Atmarami Reddy,IND,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,4224.0
2004,MLA Candidate,V. Prabhakar Chowdary,IND,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,24084.0
2004,MLA Candidate,K.M. Rahamthullah,TDP,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,38278.0
2004,MLA,B. Narayana Reddy,INC,Anantapur Urban,Anantapur,,,,,,,,,,246290.0,76059.0
2009,MLA Candidate,D Rama Krishna,IND,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,81.0
2009,MLA Candidate,Avulanna Kullayappa,IND,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,82.0
2009,MLA Candidate,V Anjaneyulu,RDHP,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,98.0
2009,MLA Candidate,Chakala Nagaraju,IND,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,106.0
2009,MLA Candidate,D Riyaz,IND,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,119.0
2009,MLA Candidate,S Phani Kumar,IND,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,141.0
2009,MLA Candidate,K Basha,CPI(ML)(L),Anantapur Urban,Anantapur,,,,,,,,,,229876.0,207.0
2009,MLA Candidate,Dasari Adinarayana,IND,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,214.0
2009,MLA Candidate,G. Lalitha,IND,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,284.0
2009,MLA Candidate,K Vijaya Kumar,PPOI,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,329.0
2009,MLA Candidate,Syed Fayazuddin,BJP,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,728.0
2009,MLA Candidate,Kasani Nagaraju,BSP,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,1352.0
2009,MLA Candidate,S Salar Basha,IND,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,2156.0
2009,MLA Candidate,Doctor K Kondaiah,LSP,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,4314.0
2009,MLA Candidate,T J Prakash,PRAP,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,28489.0
2009,MLA Candidate,Mahalakshmi Sreenivasulu,TDP,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,32033.0
2009,MLA,B Gurunatha Reddy,INC,Anantapur Urban,Anantapur,,,,,,,,,,229876.0,45275.0
2014,MLA Candidate,C.Ramesh Gowd,RPS,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,75.0
2014,MLA Candidate,M.C.Baba Fakruddin,SP,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,84.0
2014,MLA Candidate,T.Sivadeep Ranjeet,STR,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,92.0
2014,MLA Candidate,D. Raghavendra,SUCI,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,103.0
2014,MLA Candidate,S. Abdul Azeez,IND,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,122.0
2014,MLA Candidate,S.Suryachandra Naidu,IND,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,127.0
2014,MLA Candidate,Md.Hassain,WPOI,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,153.0
2014,MLA Candidate,Shaik. Sardar Vali,IND,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,209.0
2014,MLA Candidate,S.Abdul Khadar,IND,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,215.0
2014,MLA Candidate,K.Guruvenkatavittal,IND,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,220.0
2014,MLA Candidate,Anke Kullayappa,BSP,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,271.0
2014,MLA Candidate,A.Vamsi Krishna,IND,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,308.0
2014,MLA Candidate,R.Chenna Rajesh Gowd,AAAP,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,327.0
2014,MLA Candidate,T.Natesh Chowdary,IND,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,366.0
2014,MLA Candidate,S.Ali,AIMIM,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,667.0
2014,MLA Candidate,K.Chiranjeevi Reddy,JASPA,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,766.0
2014,MLA Candidate,Mandla Valmiki Gangadhar,IND,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,835.0
2014,MLA Candidate,Nota,NOTA,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,1094.0
2014,MLA Candidate,V.Govardhan Reddy,INC,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,1473.0
2014,MLA Candidate,S.Ismail,LSP,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,2121.0
2014,MLA Candidate,Palyam Narayanaswamy,CPI,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,2363.0
2014,MLA Candidate,V. Rambhupal,CPM,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,3352.0
2014,MLA Candidate,B Gurunatha Reddy,YSRCP,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,65370.0
2014,MLA,V Prabhakar Chowdary,TDP,Anantapur Urban,Anantapur,,,,,,,,,,505636.0,74704.0
2009,MLA Candidate,G. Veeranjeneya,BHSASP,Guntakal,Anantapur,,,,,,,,,,217807.0,583.0
2009,MLA Candidate,Pasupula Hari Haranath,BJP,Guntakal,Anantapur,,,,,,,,,,217807.0,1570.0
2009,MLA Candidate,D.Hemadri,IND,Guntakal,Anantapur,,,,,,,,,,217807.0,1610.0
2009,MLA Candidate,T.Obilesu,BSP,Guntakal,Anantapur,,,,,,,,,,217807.0,2740.0
2009,MLA Candidate,Pathi Ravi,PRAP,Guntakal,Anantapur,,,,,,,,,,217807.0,20417.0
2009,MLA Candidate,Sainath Goud Ramagowni,TDP,Guntakal,Anantapur,,,,,,,,,,217807.0,51753.0
2009,MLA,Madhusudanah,INC,Guntakal,Anantapur,,,,,,,,,,217807.0,61097.0
2014,MLA Candidate,B. Obulesu,IND,Guntakal,Anantapur,,,,,,,,,,464250.0,122.0
2014,MLA Candidate,E. Suresh Babu,IND,Guntakal,Anantapur,,,,,,,,,,464250.0,146.0
2014,MLA Candidate,Nallabothula Ramesh,AAAP,Guntakal,Anantapur,,,,,,,,,,464250.0,151.0
2014,MLA Candidate,D.M.D.Zabeeulla,RPS,Guntakal,Anantapur,,,,,,,,,,464250.0,179.0
2014,MLA Candidate,B.Sreenivasulu,IND,Guntakal,Anantapur,,,,,,,,,,464250.0,181.0
2014,MLA Candidate,S. Jakir,IND,Guntakal,Anantapur,,,,,,,,,,464250.0,196.0
2014,MLA Candidate,T. Shakunthala,IND,Guntakal,Anantapur,,,,,,,,,,464250.0,217.0
2014,MLA Candidate,P.Ramanjineyulu,PPOI,Guntakal,Anantapur,,,,,,,,,,464250.0,224.0
2014,MLA Candidate,K.Jeenathunnisa,IND,Guntakal,Anantapur,,,,,,,,,,464250.0,271.0
2014,MLA Candidate,Bavigadda Obulaiah,IND,Guntakal,Anantapur,,,,,,,,,,464250.0,333.0
2014,MLA Candidate,D.Udaykiran,IND,Guntakal,Anantapur,,,,,,,,,,464250.0,356.0
2014,MLA Candidate,Talari Parusuramudu,JASPA,Guntakal,Anantapur,,,,,,,,,,464250.0,451.0
2014,MLA Candidate,Gaddala Nagabhushanam,BSP,Guntakal,Anantapur,,,,,,,,,,464250.0,486.0
2014,MLA Candidate,D.B.Radhakrishna Yadav,IND,Guntakal,Anantapur,,,,,,,,,,464250.0,668.0
2014,MLA Candidate,Thammineni Pushpa Latha,STR,Guntakal,Anantapur,,,,,,,,,,464250.0,690.0
2014,MLA Candidate,Nota,NOTA,Guntakal,Anantapur,,,,,,,,,,464250.0,717.0
2014,MLA Candidate,Yeruru Mahaboob Basha,AIMIM,Guntakal,Anantapur,,,,,,,,,,464250.0,741.0
2014,MLA Candidate,M. Ramanjaneyulu,IND,Guntakal,Anantapur,,,,,,,,,,464250.0,1106.0
2014,MLA Candidate,S.Rammohan,LSP,Guntakal,Anantapur,,,,,,,,,,464250.0,1302.0
2014,MLA Candidate,K. Prabhakar,INC,Guntakal,Anantapur,,,,,,,,,,464250.0,2251.0
2014,MLA Candidate,Boyagadda Venkatramaiah,BJP,Guntakal,Anantapur,,,,,,,,,,464250.0,3865.0
2014,MLA Candidate,Y. Venkata Rami Reddy,YSRCP,Guntakal,Anantapur,,,,,,,,,,464250.0,76561.0
2014,MLA,R. Jithendra Goud,TDP,Guntakal,Anantapur,,,,,,,,,,464250.0,81655.0
1978,MLA Candidate,Chandragiri Motappa,IND,Rayadurg,Anantapur,,,,,,,,,,98618.0,1499.0
1978,MLA Candidate,Obanaik,INC,Rayadurg,Anantapur,,,,,,,,,,98618.0,8277.0
1978,MLA Candidate,Uddihal Motappa,JNP,Rayadurg,Anantapur,,,,,,,,,,98618.0,26363.0
1978,MLA,K.B.Chennamllappa,INC(I),Rayadurg,Anantapur,,,,,,,,,,98618.0,31591.0
1983,MLA Candidate,Sugali Megya Naik,IND,Rayadurg,Anantapur,,,,,,,,,,106986.0,129.0
1983,MLA Candidate,Motappa,IND,Rayadurg,Anantapur,,,,,,,,,,106986.0,659.0
1983,MLA Candidate,B. Thippaiah,IND,Rayadurg,Anantapur,,,,,,,,,,106986.0,666.0
1983,MLA Candidate,Ulikantappa,INC,Rayadurg,Anantapur,,,,,,,,,,106986.0,21141.0
1983,MLA Candidate,Kata Govindappa,IND,Rayadurg,Anantapur,,,,,,,,,,106986.0,22822.0
1983,MLA,P. Venngopal Reddy,IND,Rayadurg,Anantapur,,,,,,,,,,106986.0,26203.0
1985,MLA Candidate,U. Lingareddy,JNP,Rayadurg,Anantapur,,,,,,,,,,116102.0,34588.0
1985,MLA,Huli Kuntaprao,INC,Rayadurg,Anantapur,,,,,,,,,,116102.0,41777.0
1994,MLA Candidate,J. Kairunnisa,IND,Rayadurg,Anantapur,,,,,,,,,,150237.0,22.0
1994,MLA Candidate,Kristappa,IND,Rayadurg,Anantapur,,,,,,,,,,150237.0,77.0
1994,MLA Candidate,Muddu Krishna,IND,Rayadurg,Anantapur,,,,,,,,,,150237.0,188.0
1994,MLA Candidate,Nayakula Narasimhulu,IND,Rayadurg,Anantapur,,,,,,,,,,150237.0,262.0
1994,MLA Candidate,Nayakula Anjineyulu,IND,Rayadurg,Anantapur,,,,,,,,,,150237.0,355.0
1994,MLA Candidate,Khuddus,IND,Rayadurg,Anantapur,,,,,,,,,,150237.0,3255.0
1994,MLA Candidate,Patil Venugopal Reddy,INC,Rayadurg,Anantapur,,,,,,,,,,150237.0,41983.0
1994,MLA,Bandi Hulikuntappa,TDP,Rayadurg,Anantapur,,,,,,,,,,150237.0,62716.0
1999,MLA Candidate,Ramanjaneyulu,IND,Rayadurg,Anantapur,,,,,,,,,,165763.0,524.0
1999,MLA Candidate,Satish Kumar,PPOI,Rayadurg,Anantapur,,,,,,,,,,165763.0,592.0
1999,MLA Candidate,Srinivasa Gupta,ATDP,Rayadurg,Anantapur,,,,,,,,,,165763.0,805.0
1999,MLA Candidate,Nagaraju,IND,Rayadurg,Anantapur,,,,,,,,,,165763.0,1043.0
1999,MLA Candidate,Pujari Jitendrappa,TDP,Rayadurg,Anantapur,,,,,,,,,,165763.0,49851.0
1999,MLA,Patil Venugopal Reddy,INC,Rayadurg,Anantapur,,,,,,,,,,165763.0,59086.0
2004,MLA Candidate,Munnemm Somanath,IND,Rayadurg,Anantapur,,,,,,,,,,174956.0,2184.0
2004,MLA Candidate,R.Manjunatha,IND,Rayadurg,Anantapur,,,,,,,,,,174956.0,2832.0
2004,MLA Candidate,Patil Venugopal Reddy,INC,Rayadurg,Anantapur,,,,,,,,,,174956.0,56083.0
2004,MLA,Mettu Govinda Reddy,TDP,Rayadurg,Anantapur,,,,,,,,,,174956.0,66188.0
1989,MLA Candidate,Motappa,IND,Rayadurg,Anantapur,,,,,,,,,,139382.0,409.0
1989,MLA Candidate,Megya Naik,IND,Rayadurg,Anantapur,,,,,,,,,,139382.0,555.0
1989,MLA Candidate,Khasim Sab,IND,Rayadurg,Anantapur,,,,,,,,,,139382.0,858.0
1989,MLA Candidate,Kata Govindappa,TDP,Rayadurg,Anantapur,,,,,,,,,,139382.0,41000.0
