name,mandal,year,age,area,community,cooptmember,edu,electioncat,occupation,party,pparty,president,sex,vp,vpparty
S.Janaki Bai,Ananthapuramu Rural,2014,,Narasanayanikunta,,,,ST(W),,TDP,,,F,,
M.Hemavathi,Ananthapuramu Rural,2014,,Pulakunta,,,,SC(W),,YSRCP,,,F,,
G.Ramna Reddy,Ananthapuramu Rural,2014,,Rachanpalli  1,,,,UR,,YSRCP,,,M?,,
D.Saddanapa,Ananthapuramu Rural,2014,,Rachanpalli 2,,,,BC,,TDP,,,M?,,
D.Abudul Rahim,Ananthapuramu Rural,2014,,Rajiv Colony  1,,,,BC,,TDP,,,M?,,
Chakali Jayamma,Ananthapuramu Rural,2014,,Rajiv Colony 2,,,,BC(W),,YSRCP,,,F,,
Gundla Madugu Balaji,Ananthapuramu Rural,2014,,Rudrampeta 1,,,,UR,,YSRCP,,,M?,,
Guggilla Raghava Reddy,Ananthapuramu Rural,2014,,Rudrampeta 2,,,,UR,,TDP,,,M?,,
Harijana Krishanaveni,Ananthapuramu Rural,2014,,Rudrampeta 3,,,,SC(W),,TDP,,,F,,
S.Venkata Lakshmi,Ananthapuramu Rural,2014,,Rudrampeta 4,,,,BC(W),,TDP,,,F,,
M.Naganna,Ananthapuramu Rural,2014,,Somuladoddi,,,,SC,,TDP,,,M?,,
M.Venkatalakshmamma,Ananthapuramu Rural,2014,,Taticherla,,,,UR(W),,TDP,,,F,,
P.Naramma,Ananthapuramu Rural,2014,,Uparapalli,,,,UR(W),,YSRCP,,,F,,
J.Chinnakka,Atmakur,2014,,Atmakur 1,,,,SC,,YSRCP,,,M?,,
P.Prathap,Atmakur,2014,,Atmakur 2,,,,UR,,TDP,,,M?,,
K.Shankaranarayana Reddy,Atmakur,2014,,B.Yaleru,,,,UR,,YSRCP,,,M?,,
Talari Ramadevi,Atmakur,2014,,Goridindla,,,,BC(W),,TDP,,,F,,
Ippeti Akkamma,Atmakur,2014,,Muttala,,,,BC(W),,YSRCP,,,F,,
Subbara Sanjeevaiah,Atmakur,2014,,P.Yaleru,,,,BC,,TDP,,,M?,,
Gangula Jayasudha,Atmakur,2014,,Sanapa,,,,UR(W),,TDP,,,F,,
R.Varalakshmi,Atmakur,2014,,Singampalli,,,,ST(W),,YSRCP,,,F,,
Gaduputi Rama Devi,Atmakur,2014,,Talupuru,,,,UR(W),,TDP,,,F,,
Yarragunta Mallikarjuna,Atmakur,2014,,Thopudurthy,,,,UR,,YSRCP,,,M?,,
M.Marrekka,Atmakur,2014,,Vepacherla,,,,SC(W),,TDP,,,F,,
B.Nirmala,Bathalapalli,2014,,Apparacheruvu,,,,UR(W),,YSRCP,,,F,,
M.Ramanjeeneyulu,Bathalapalli,2014,,Bathalapalli  1,,,,SC,,YSRCP,,,M?,,
P.Kalavathi,Bathalapalli,2014,,Bathalapalli 2,,,,BC(W),,YSRCP,,,F,,
K.Suryaprakash Babu,Bathalapalli,2014,,Bathalapalli 3,,,,BC,,YSRCP,,,M?,,
G.Venkateswara Reddy,Bathalapalli,2014,,D.Cherlopalle,,,,UR,,YSRCP,,,M?,,
G.Vengala Reddy,Bathalapalli,2014,,Dampetla,,,,UR,,YSRCP,,,M?,,
S.Saileela,Bathalapalli,2014,,Malyavantham,,,,SC(W),,TDP,,,F,,
K.Suryaprakash Rao,Bathalapalli,2014,,Mustur,,,,UR,,TDP,,,M?,,
M.Bhagyamma,Bathalapalli,2014,,Obulapuram,,,,UR(W),,TDP,,,F,,
K.Rathnamma,Bathalapalli,2014,,Sanjeevapuram,,,,BC(W),,TDP,,,F,,
S.Gangadevi,Bathalapalli,2014,,Thambapuram,,,,ST(W),,TDP,,,F,,
Bolliboyena Vani,Beluguppa,2014,,Ankampalli,,,,UR(W),,TDP,,,F,,
Golla Yerraya Dowd,Beluguppa,2014,,B.Ramasagaram,,,,UR,,TDP,,,M?,,
Mood Salabai,Beluguppa,2014,,Beluguppa 2,,,,ST(W),,YSRCP,,,F,,
Boya Kahchi Ramudu,Beluguppa,2014,,Beluguppa 2,,,,UR,,TDP,,,M?,,
Guduputi Thimmappa,Beluguppa,2014,,Duddekunta,,,,UR,,TDP,,,M?,,
K.Anjinamma,Beluguppa,2014,,Gagavaram,,,,BC(W),,YSRCP,,,F,,
K.Venkatesulu,Beluguppa,2014,,Kalavapalalli,,,,BC,,YSRCP,,,M?,,
Vadde Sreenivasulu,Beluguppa,2014,,N.Gundlapalli,,,,BC,,TDP,,,M?,,
Madiga Nagamma,Beluguppa,2014,,Narasapuram,,,,SC(W),,YSRCP,,,F,,
Thirupatamma,Beluguppa,2014,,Seerpi,,,,SC,,TDP,,,M?,,
Malasree Edega,Beluguppa,2014,,Sreerangapuram,,,,UR(W),,TDP,,,F,,
Yoshodamma,Beluguppa,2014,,Thagguparthi,,,,UR,,TDP,,,M?,,
T Venkata Bharathi,Bommanahal,2014,,Bandur,,,,UR(W),,TDP,,,F,,
Kummari Gopal,Bommanahal,2014,,Bollanaguddam,,,,BC,,TDP,,,M?,,
Kothapalli Kavitha,Bommanahal,2014,,Bommanahal,,,,UR(W),,TDP,,,F,,
Kotigari Ramesh,Bommanahal,2014,,D.Honnur  1,,,,UR,,YSRCP,,,M?,,
R. Vanappa,Bommanahal,2014,,D.Honnur  2,,,,BC,,YSRCP,,,M?,,
Kavili Vemanna,Bommanahal,2014,,Govindawada  1,,,,UR,,TDP,,,M?,,
M.Suresh Swamy,Bommanahal,2014,,Govindawada 2,,,,UR,,YSRCP,,,M?,,
H Parvathi,Bommanahal,2014,,Kolaganahalli,,,,SC(W),,TDP,,,F,,
S Jaya Ram Reddy,Bommanahal,2014,,Kuruvalli,,,,UR,,YSRCP,,,M?,,
Muluguru Malli Karjuna,Bommanahal,2014,,Lingadahal,,,,UR,,TDP,,,M?,,
Tulasamma,Bommanahal,2014,,Nemakallu,,,,BC(W),,YSRCP,,,F,,
Kasireddy Gari Shobha,Bommanahal,2014,,Singanahalli,,,,UR(W),,YSRCP,,,F,,
Harijana Anandha,Bommanahal,2014,,Sreedharagatta,,,,SC,,IND,,,M?,,
K.Padmaja,Bommanahal,2014,,Uddehal,,,,UR(W),,YSRCP,,,F,,
K.Vandramma,Bommanahal,2014,,Unthakal,,,,BC(W),,TDP,,,F,,
Urthal Parvathi,Bommanahal,2014,,Upparahal,,,,BC(W),,TDP,,,F,,
Saradamma,Bramhasamudram,2014,,Bhyrasamudram,,,,BC(W),,TDP,,,F,,
Kuruba.Anjineyulu,Bramhasamudram,2014,,Bhyravanithippa,,,,UR,,TDP,,,M?,,
Golla.Savitri,Bramhasamudram,2014,,Bramhasamudram,,,,UR(W),,TDP,,,F,,
Sukanya,Bramhasamudram,2014,,Kannepalli,,,,UR(W),,TDP,,,F,,
Golla.Jyothi,Bramhasamudram,2014,,Muppalakunta,,,,UR(W),,TDP,,,F,,
Narayanappa Vadde,Bramhasamudram,2014,,Palavenkatapuram,,,,BC,,TDP,,,M?,,
M.Manjula,Bramhasamudram,2014,,Pillalapalli,,,,SC,,TDP,,,M?,,
Vasanthamma,Bramhasamudram,2014,,Rayalappadoddi,,,,UR,,TDP,,,M?,,
Karegowd,Bramhasamudram,2014,,Santhekondapuram,,,,BC,,TDP,,,M?,,
Gowdappa,Bramhasamudram,2014,,Vepulaparthy,,,,UR,,TDP,,,M?,,
Thimmakka,Bramhasamudram,2014,,West Kodipalli,,,,BC(W),,TDP,,,F,,
Uda.Anjinamma,Bramhasamudram,2014,,Yeradikera,,,,SC(W),,YSRCP,,,F,,
Channamma,Bukkapatnam,2014,,Agraharam,,,,UR(W),,TDP,,,F,,
Eswaramma,Bukkapatnam,2014,,Bukkapatnam 1,,,,BC(W),,TDP,,,F,,
Chinthakayala Ravi,Bukkapatnam,2014,,Bukkapatnam 2,,,,UR,,TDP,,,M?,,
Y. Manjula,Bukkapatnam,2014,,Bukkapatnam 3,,,,UR(W),,TDP,,,F,,
U. Gangadevi,Bukkapatnam,2014,,Gasikavaripalli,,,,SC(W),,YSRCP,,,F,,
P. Chandra Sekhar,Bukkapatnam,2014,,Kothakota,,,,BC,,YSRCP,,,M?,,
S. Lokeswari,Bukkapatnam,2014,,Krishnapuram,,,,ST(W),,TDP,,,F,,
Sarojamma Pamudurthy,Bukkapatnam,2014,,Marala,,,,UR,,TDP,,,M?,,
Avula Kesappa,Bukkapatnam,2014,,Narasimpalli Thanda,,,,BC,,TDP,,,M?,,
Pamudurthy Nirmala,Bukkapatnam,2014,,Pamudurthy,,,,UR(W),,YSRCP,,,F,,
Mallesappa Ballari,Bukkapatnam,2014,,Siddarampuram,,,,UR,,YSRCP,,,M?,,
B.Nagaraju,Bukkarayasamudram,2014,,B.K.Samudram 1,,,,UR,,TDP,,,M?,,
Avvari Ashok Kumar,Bukkarayasamudram,2014,,B.K.Samudram 2,,,,UR,,TDP,,,M?,,
Cherukuri Narayana Swami,Bukkarayasamudram,2014,,B.K.Samudram 3,,,,UR,,TDP,,,M?,,
Boya Nagalakshmi,Bukkarayasamudram,2014,,B.K.Samudram 4,,,,BC,,YSRCP,,,M?,,
Jerripiti Aruna,Bukkarayasamudram,2014,,B.K.Samudram 5,,,,BC(W),,TDP,,,F,,
Adilakshmi Sake,Bukkarayasamudram,2014,,B.K.Samudram 6,,,,ST(W),,YSRCP,,,F,,
M.Yerramma,Bukkarayasamudram,2014,,B.Kothapalli,,,,SC(W),,YSRCP,,,F,,
Guvvala Pedda Venkata Reddi,Bukkarayasamudram,2014,,Chennampalli,,,,UR,,YSRCP,,,M?,,
Sake Lakshmidevi,Bukkarayasamudram,2014,,Danduvaripalli,,,,SC(W),,TDP,,,F,,
Yanamala Lalitha,Bukkarayasamudram,2014,,Dayalakuntapalli,,,,UR(W),,YSRCP,,,F,,
Kummari Menakshi,Bukkarayasamudram,2014,,Govindampalli,,,,BC(W),,CPI,,,F,,
Pulla Rama Mohan,Bukkarayasamudram,2014,,K.K.Agraharam,,,,BC,,YSRCP,,,M?,,
Kilari Gouramma,Bukkarayasamudram,2014,,Korrapadu 1,,,,UR(W),,YSRCP,,,F,,
Devarinti Suresh,Bukkarayasamudram,2014,,Korrapadu 2,,,,SC,,YSRCP,,,M?,,
R.Narayana Swami,Bukkarayasamudram,2014,,Neelampalli,,,,UR,,TDP,,,M?,,
Jonnakuti Vimala,Bukkarayasamudram,2014,,Podaralla,,,,UR(W),,YSRCP,,,F,,
Chekka Lakshminarayana,Bukkarayasamudram,2014,,Reddipalli,,,,BC,,YSRCP,,,M?,,
Pasapala Jayamma,Bukkarayasamudram,2014,,Siddarampuram,,,,UR(W),,TDP,,,F,,
D.Lakshmidevamma,Bukkarayasamudram,2014,,Venkatapuram,,,,UR(W),,YSRCP,,,F,,
M. Govindamma,Chilamathur,2014,,Chilamathur  1,,,,BC(W),,INC,,,F,,
G. Vinodamma,Chilamathur,2014,,Chilamathur 2,,,,UR(W),,INC,,,F,,
Nanjundappa,Chilamathur,2014,,Chilamathur 3,,,,UR,,IND,,,M?,,
Venkatalakshmamma,Chilamathur,2014,,Chilamathur 4,,,,SC(W),,TDP,,,F,,
C. Lakshmireddy,Chilamathur,2014,,Demakethepalli,,,,UR,,YSRCP,,,M?,,
C. Nadiya,Chilamathur,2014,,Kodikonda,,,,BC(W),,TDP,,,F,,
G. Venkatasubbamma,Chilamathur,2014,,Kodur  1,,,,UR(W),,TDP,,,F,,
A. Suryanarayana,Chilamathur,2014,,Kodur 2,,,,BC,,YSRCP,,,M?,,
S. Chenna Krishtappa,Chilamathur,2014,,Kodur 3,,,,BC,,YSRCP,,,M?,,
S. Mounika,Chilamathur,2014,,Morasalapalli,,,,UR(W),,YSRCP,,,F,,
Lakshmipathireddy,Chilamathur,2014,,Palagalapalli,,,,UR,,YSRCP,,,M?,,
M. Praveen Kumar,Chilamathur,2014,,Settipalli,,,,BC,,TDP,,,M?,,
P. Kanthamma,Chilamathur,2014,,Somaghatta,,,,BC(W),,YSRCP,,,F,,
N. Nagamani,Chilamathur,2014,,Tekulodu,,,,UR(W),,TDP,,,F,,
M. Krishtappa,Chilamathur,2014,,Veerapuram,,,,SC,,TDP,,,M?,,
P.Nallamma,C.K.Palli,2014,,Basampalli,,,,SC(W),,YSRCP,,,F,,
Sakunthalamma,C.K.Palli,2014,,Chennekothapalli 1,,,,UR(W),,TDP,,,F,,
A.Amarendra,C.K.Palli,2014,,Chennekothapalli 2,,,,BC,,TDP,,,M?,,
U.Raju,C.K.Palli,2014,,Ganginepalli,,,,UR,,TDP,,,M?,,
B.Narayanamma,C.K.Palli,2014,,Medapuram 1,,,,BC(W),,TDP,,,F,,
G.Bhagyamma,C.K.Palli,2014,,Medapuram 2,,,,UR(W),,TDP,,,F,,
V.Narasimhulu,C.K.Palli,2014,,Mustikovela,,,,UR,,TDP,,,M?,,
S.Narasimhulu,C.K.Palli,2014,,Nagasamudram,,,,SC,,YSRCP,,,M?,,
G.Lakshminarayana,C.K.Palli,2014,,Nyamaddela 1,,,,UR,,YSRCP,,,M?,,
T.Chandrayudu,C.K.Palli,2014,,Nyamaddela 2,,,,BC,,TDP,,,M?,,
K.Gayathri,C.K.Palli,2014,,Obulampalli,,,,BC(W),,TDP,,,F,,
D. Lakshmidevi,C.K.Palli,2014,,Pyadindi,,,,BC(W),,TDP,,,F,,
K.Lakshmidevi,C.K.Palli,2014,,Venkatampalli,,,,UR(W),,TDP,,,F,,
K.Chandrakala,D.Hirehal,2014,,Cherlopalli,,,,BC,,TDP,,,M?,,
Patil Silaja,D.Hirehal,2014,,Kadalur,,,,UR(W),,TDP,,,F,,
Mulinti Linga Reddy,D.Hirehal,2014,,Kudlur,,,,UR,,YSRCP,,,M?,,
S.Anjineyya,D.Hirehal,2014,,M.Hanumapuram,,,,UR,,TDP,,,M?,,
Boya Talari Gangadhara,D.Hirehal,2014,,Muradi,,,,BC,,TDP,,,M?,,
G.Venkateshulu,D.Hirehal,2014,,Nagalapuram,,,,UR,,TDP,,,M?,,
Butra Anjaneyulu,Dharmavaram,2014,,Chigicherla,,,,BC,,TDP,,,M?,,
P.Kavitha,Dharmavaram,2014,,Darsimala,,,,UR(W),,TDP,,,F,,
Jinne Venkataramana,Dharmavaram,2014,,Dharmapuri,,,,BC,,TDP,,,M?,,
D.Balappa,Dharmavaram,2014,,Elukuntla,,,,SC,,TDP,,,M?,,
Etti Lakshminarasamma,Dharmavaram,2014,,Gotluru 1,,,,SC(W),,TDP,,,F,,
Midatala Veeranaramma,Dharmavaram,2014,,Gotluru 2,,,,BC(W),,TDP,,,F,,
B.Venugopal Reddy,Dharmavaram,2014,,Kunuthuru,,,,UR,,TDP,,,M?,,
R.Lingamma,Dharmavaram,2014,,Mallakalva,,,,ST(W),,TDP,,,F,,
T.Narayanamma,Dharmavaram,2014,,Pothukunta,,,,BC(W),,TDP,,,F,,
N.Savithri,Dharmavaram,2014,,Pothulanagepalli,,,,UR(W),,YSRCP,,,F,,
Gelivi Sravanthi,Dharmavaram,2014,,Ravulacheruvu,,,,UR(W),,YSRCP,,,F,,
Kesapuram Narapareddy,Dharmavaram,2014,,Regatipalli,,,,UR,,YSRCP,,,M?,,
Gorla Ramamohan Reddy,Dharmavaram,2014,,Thummala,,,,UR,,TDP,,,M?,,
Bhukke. Suseelamma,Gandlapenta,2014,,Chamalagondi,,,,ST(W),,TDP,,,F,,
Busanagari Padmaja,Gandlapenta,2014,,Gandlapenta,,,,UR,,YSRCP,,,M?,,
Gunde Veeramanaidu,Gandlapenta,2014,,Godduvelagala,,,,UR,,TDP,,,M?,,
D.Gangojamma,Gandlapenta,2014,,Katarupalli,,,,SC(W),,YSRCP,,,F,,
K.Adeppa Naidu,Gandlapenta,2014,,Malameedapalli,,,,BC,,YSRCP,,,M?,,
Poreddi.Jyothi Prasanna,Gandlapenta,2014,,Somayajulapalli,,,,UR(W),,YSRCP,,,F,,
G.Swetha Rani,Gandlapenta,2014,,Veparala,,,,UR(W),,YSRCP,,,F,,
B.Yallamma,Garladinne,2014,,Budedu,,,,BC(W),,TDP,,,F,,
K.Chandrashekar Naidu,Garladinne,2014,,Garladinne  1,,,,UR,,TDP,,,M?,,
B. Lakshmi Devi,Garladinne,2014,,Garladinne 2,,,,BC,,TDP,,,M?,,
Veeranjaneyulu,Garladinne,2014,,Illuru,,,,UR,,YSRCP,,,M?,,
Adilakshmi,Garladinne,2014,,Kalluru   1,,,,UR(W),,TDP,,,F,,
Pakkiramma,Garladinne,2014,,Kalluru  2,,,,SC(W),,TDP,,,F,,
Jaggala Ravi,Garladinne,2014,,Kalluru  3,,,,BC,,IND,,,M?,,
K.Sreenivasulu,Garladinne,2014,,Kamalapuram,,,,UR,,TDP,,,M?,,
Lakahmidevi,Garladinne,2014,,Kanampalli,,,,UR(W),,YSRCP,,,F,,
Madiga Anitha,Garladinne,2014,,Kotanaka,,,,SC(W),,YSRCP,,,F,,
G. Radhamma,Garladinne,2014,,Marthadu  1,,,,UR(W),,TDP,,,F,,
B.Jayalakshmi,Garladinne,2014,,Marthadu 2,,,,BC(W),,TDP,,,F,,
Juturu Nirmala,Garladinne,2014,,Muntimadugu,,,,UR(W),,TDP,,,F,,
J.Nagaraju,Garladinne,2014,,Penakacherla,,,,SC,,TDP,,,M?,,
Eswaraiah,Garladinne,2014,,Yerraguntla,,,,UR,,TDP,,,M?,,
P.Mohan Das,Gooty,2014,,Abbedoddi,,,,UR,,TDP,,,M?,,
G.Veerabharaiah,Gooty,2014,,Basinepalli,,,,UR,,TDP,,,M?,,
P.Padmavathamma,Gooty,2014,,Bethapalli,,,,UR(W),,YSRCP,,,F,,
Rajamma,Gooty,2014,,Jakkalacheruvu,,,,ST(W),,YSRCP,,,F,,
Ambati Narasimhulu,Gooty,2014,,Karidikonda,,,,BC,,YSRCP,,,M?,,
Dhane Nageswaramma,Gooty,2014,,Kojjepalli,,,,BC(W),,YSRCP,,,F,,
Nagepalli Neela Rani,Gooty,2014,,Kothapeta,,,,SC(W),,TDP,,,F,,
Jalla Jayalakshmi,Gooty,2014,,P.Yerragudi,,,,UR(W),,YSRCP,,,F,,
Venkatalakshmi,Gooty,2014,,Peddoddi,,,,BC(W),,TDP,,,F,,
Kuruva Sankar,Gooty,2014,,Thurakapalli,,,,UR,,TDP,,,M?,,
Pedda Ranganna,Gooty,2014,,Ubicherla,,,,SC,,TDP,,,M?,,
Desai Nagi Reddy,Gorantla,2014,,Budili,,,,UR,,YSRCP,,,M?,,
B.Sujathamma,Gorantla,2014,,Gangampalli,,,,SC(W),,TDP,,,F,,
Nimmala Yuvasekhar,Gorantla,2014,,Gorantla 1,,,,BC,,TDP,,,M?,,
Nimmala Vidyadharani,Gorantla,2014,,Gorantla 2,,,,UR,,TDP,,,M?,,
D.Muniswamy,Gorantla,2014,,Gorantla 3,,,,ST,,TDP,,,M?,,
Medara Ramadevi,Gorantla,2014,,Gorantla 4,,,,UR(W),,YSRCP,,,F,,
S.Shaheena,Gorantla,2014,,Gorantla 5,,,,BC(W),,YSRCP,,,F,,
B.Narasimhaiah,Gorantla,2014,,Gorantla 6,,,,BC,,TDP,,,M?,,
Cheruvu Govenda Reddy,Gorantla,2014,,Gownivaripalli,,,,UR,,YSRCP,,,M?,,
Gangamma.S,Gorantla,2014,,Kammavaripalli,,,,UR(W),,YSRCP,,,F,,
Papireddipalli Shobhavathi,Gorantla,2014,,Kondapuram,,,,UR(W),,TDP,,,F,,
Gadda Susheelamma,Gorantla,2014,,Malasamudram,,,,BC(W),,YSRCP,,,F,,
D.Gangi Reddy,Gorantla,2014,,Mallapalli,,,,UR,,YSRCP,,,M?,,
Chintha Bhaskara Reddy,Gorantla,2014,,Mandalapalli 1,,,,UR,,TDP,,,M?,,
Gangadri Vanavolu,Gorantla,2014,,Mandalapalli 2,,,,SC,,TDP,,,M?,,
G.Ramanjinamma,Gorantla,2014,,Narasimpalli,,,,BC(W),,YSRCP,,,F,,
S.Sarada Bai,Gorantla,2014,,Palasamudram,,,,ST(W),,TDP,,,F,,
K.Narasimhappa,Gorantla,2014,,Reddycheruvupalli,,,,UR,,TDP,,,M?,,
B.Manjula,Gorantla,2014,,Vadegepalli,,,,BC(W),,TDP,,,F,,
Gadare Radhamma,Gorantla,2014,,Vanavolu 1,,,,UR(W),,YSRCP,,,F,,
M.Kamalamma,Gorantla,2014,,Vanavolu 2,,,,UR(W),,TDP,,,F,,
D.Hampaiah,Gorantla,2014,,Venkataramanapalli,,,,BC,,TDP,,,M?,,
Thippeswamy,Gudibanda,2014,,Gudibanda 1,,,,SC,,TDP,,,M?,,
Sreerangamma,Gudibanda,2014,,Gudibanda 2,,,,BC(W),,YSRCP,,,F,,
Radhamma,Gudibanda,2014,,Gudibanda 3,,,,BC(W),,YSRCP,,,F,,
Nagarajappa,Gudibanda,2014,,Gune Morubagal,,,,SC,,TDP,,,M?,,
T. Sowbhagyalakshmi,Gudibanda,2014,,Jambulabanda,,,,UR(W),,TDP,,,F,,
A. Sanneerappa,Gudibanda,2014,,Karikera,,,,UR,,TDP,,,M?,,
R. Manjamma,Gudibanda,2014,,Konkallu,,,,SC(W),,YSRCP,,,F,,
B. Bhojaraju,Gudibanda,2014,,Kumbaranagepalli,,,,UR,,TDP,,,M?,,
S. Hanumantharayudu,Gudibanda,2014,,Mandalapalli 1,,,,UR,,TDP,,,M?,,
Thippamma,Gudibanda,2014,,Mandalapalli 2,,,,SC(W),,TDP,,,F,,
Manjamma,Gudibanda,2014,,Morubagal 1,,,,BC(W),,TDP,,,F,,
Umadevi,Gudibanda,2014,,Morubagal 2,,,,UR(W),,TDP,,,F,,
K. Prakash,Gudibanda,2014,,Muthukuru,,,,BC,,TDP,,,M?,,
M. Reshmabhanu,Gudibanda,2014,,Rallapalli,,,,UR(W),,TDP,,,F,,
Bhaskar,Gudibanda,2014,,Sankaragallu,,,,BC,,YSRCP,,,M?,,
Erriswamy,Gummagatta,2014,,Bhupasamudram,,,,SC,,TDP,,,M?,,
Hemakka,Gummagatta,2014,,Galagala,,,,UR(W),,YSRCP,,,F,,
H.Maalashri,Gummagatta,2014,,Gollapalli,,,,SC(W),,TDP,,,F,,
